label,config,weeks,blown,end_wealth,total_ret_pct,cagr_pct,max_dd_pct,ann_vol_pct,worst_wk_pct,income_weeks,loss_weeks,short_prem_collected,short_realized,long_realized,put_realized,soxs_realized,long_rolls,sweep_final,interest,commissions,qa_recon,maxDD_pct,dd_peak,dd_trough,dd_recovered,longest_underwater_wks,ret_2024_pct,ret_2025_pct,ret_2026_pct,crash25_pct,crash26_pct,pct_weeks_income,med_wk_realized,MAR
C_pw.5x25d90_tp3,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d90_tp3x,131,False,463427.8,209.0,56.5,-38.9,48.1,-19.6,95,36,207981.0,-142459.0,516074.0,-56077.0,0.0,10,122820.25,0.0,4111.0,PASS,-38.9,2024-07-08,2025-03-17,2025-06-23,49,1.0,93.5,58.1,15.9,-8.6,73.0,952.0,1.45
C_pw.5x25d90_tp5,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d90_tp5x,131,False,462966.3,208.6,56.4,-38.9,47.7,-19.6,95,36,207001.0,-142422.0,515356.0,-55879.0,0.0,10,122358.75,0.0,4088.0,PASS,-38.9,2024-07-08,2025-03-17,2025-06-23,49,1.0,92.3,58.9,16.0,-8.6,73.0,952.0,1.45
D_trend30@0.5,pmcc_c18%_L75%_t150_share_repl_trend30@0.5,131,False,379852.9,153.2,44.6,-36.9,35.0,-11.7,88,43,135355.0,-83288.0,316164.0,0.0,0.0,10,105393.49,0.0,3022.0,PASS,-36.9,2024-07-08,2025-04-14,2025-09-15,61,14.7,43.9,53.4,7.4,-5.1,67.0,693.0,1.21
D_trend30@0.25,pmcc_c18%_L75%_t150_share_repl_trend30@0.25,131,False,382734.95,155.2,45.0,-34.5,34.5,-11.6,87,44,123779.0,-62098.0,297727.0,0.0,0.0,10,105066.49,0.0,2894.0,PASS,-34.5,2024-07-08,2025-04-14,2025-09-15,61,24.3,32.8,54.6,8.1,-5.1,66.0,608.0,1.3
D_trend50@0.5,pmcc_c18%_L75%_t150_share_repl_trend50@0.5,131,False,324075.8,116.1,35.8,-38.6,33.4,-12.3,87,44,123162.0,-72364.0,249201.0,0.0,0.0,10,86807.56,0.0,2761.0,PASS,-38.6,2024-07-08,2025-04-14,2025-10-13,65,6.2,38.9,46.5,-0.7,-5.4,66.0,641.0,0.93
D_trend50@0.25,pmcc_c18%_L75%_t150_share_repl_trend50@0.25,131,False,312848.8,108.6,33.9,-36.6,32.8,-10.7,87,44,108091.0,-51496.0,216859.0,0.0,0.0,10,85313.31,0.0,2514.0,PASS,-36.6,2024-07-08,2025-04-14,2025-10-20,66,9.6,26.5,50.4,-3.9,-3.9,66.0,592.0,0.93
D_trend100@0.5,pmcc_c18%_L75%_t150_share_repl_trend100@0.5,131,False,358478.9,139.0,41.3,-32.5,33.6,-12.4,92,39,133995.0,-94815.0,306020.0,0.0,0.0,10,97200.34,0.0,2726.0,PASS,-32.5,2024-07-08,2025-04-14,2025-09-29,62,9.9,49.3,45.6,3.2,-5.5,70.0,727.0,1.27
D_trend100@0.25,pmcc_c18%_L75%_t150_share_repl_trend100@0.25,131,False,352720.4,135.1,40.4,-27.4,32.9,-10.9,92,39,121108.0,-81056.0,286163.0,0.0,0.0,10,95367.34,0.0,2387.0,PASS,-27.4,2024-07-08,2025-04-14,2025-09-29,63,14.7,40.1,46.3,1.9,-4.1,70.0,659.0,1.47
E_dd10@.5,pmcc_c18%_L75%_t150_share_repl_dd10%@0.5,131,False,276981.8,84.7,27.6,-28.8,31.0,-12.5,93,38,112299.0,-48977.0,178345.0,0.0,0.0,10,73442.77,0.0,2387.0,PASS,-28.8,2024-07-08,2025-04-14,2025-10-20,66,10.4,28.3,30.4,3.4,-5.5,71.0,594.0,0.96
E_dd15@.5,pmcc_c18%_L75%_t150_share_repl_dd15%@0.5,131,False,337530.05,125.0,38.0,-30.1,32.8,-11.7,93,38,125478.0,-70129.0,260204.0,0.0,0.0,10,95840.35,0.0,2545.0,PASS,-30.1,2024-07-08,2025-04-14,2025-09-29,63,3.4,51.7,43.5,3.4,-4.9,71.0,666.0,1.26
E_dd20@.5,pmcc_c18%_L75%_t150_share_repl_dd20%@0.5,131,False,347423.55,131.6,39.6,-33.8,33.5,-11.4,93,38,133605.0,-106020.0,306125.0,0.0,0.0,10,95599.44,0.0,2681.0,PASS,-33.8,2024-07-08,2025-04-14,2025-10-13,65,4.0,51.1,47.5,3.2,-5.0,71.0,727.0,1.17
E_dd30@.5,pmcc_c18%_L75%_t150_share_repl_dd30%@0.5,131,False,332682.2,121.8,37.2,-37.6,33.6,-12.0,94,37,134539.0,-109690.0,295149.0,0.0,0.0,10,93880.7,0.0,2777.0,PASS,-37.6,2024-07-08,2025-04-14,2025-10-20,66,-2.4,55.3,46.3,2.3,-5.2,72.0,906.0,0.99
E_dd20@.25,pmcc_c18%_L75%_t150_share_repl_dd20%@0.25,131,False,305969.3,104.0,32.7,-29.4,32.1,-11.4,95,36,109078.0,-98028.0,255998.0,0.0,0.0,10,82367.07,0.0,2001.0,PASS,-29.4,2024-07-08,2025-04-14,2026-01-05,77,6.0,26.5,52.1,1.5,-4.9,73.0,608.0,1.11
F_nocall_belowtrend,pmcc_c18%_L75%_t150_share_repl_nocallBT,131,False,700376.5,366.9,84.4,-43.6,55.7,-21.8,67,19,216828.0,-88403.0,641869.0,0.0,0.0,10,123950.05,0.0,3090.0,PASS,-43.6,2024-07-08,2025-04-14,2025-06-23,49,14.8,101.0,102.3,14.2,-10.8,51.0,616.0,1.94
F_nocall_after10drop,pmcc_c18%_L75%_t150_share_repl_nocallD10%,131,False,570714.2,280.5,70.0,-42.1,51.8,-20.7,100,27,228547.0,-147528.0,572051.0,0.0,0.0,10,132036.7,0.0,3809.0,PASS,-42.1,2024-07-08,2025-04-14,2025-06-30,50,9.7,85.6,87.0,8.1,-10.1,76.0,1068.0,1.66
F_both_skips,pmcc_c18%_L75%_t150_share_repl_nocallBT_nocallD10%,131,False,700376.5,366.9,84.4,-43.6,55.7,-21.8,67,19,216828.0,-88403.0,641869.0,0.0,0.0,10,123950.05,0.0,3090.0,PASS,-43.6,2024-07-08,2025-04-14,2025-06-23,49,14.8,101.0,102.3,14.2,-10.8,51.0,616.0,1.94
G_repair55,pmcc_c18%_L75%_t150_share_repl_lo55%,131,False,522395.15,248.3,64.1,-47.4,50.9,-19.3,102,29,213987.0,-168115.0,544320.0,0.0,0.0,13,137212.25,0.0,3810.0,PASS,-47.4,2024-07-08,2025-04-14,2025-09-29,63,20.3,52.1,90.3,-3.0,-9.1,78.0,1117.0,1.35
H_apy4,pmcc_c18%_L75%_t150_share_repl_apy4%,131,False,562939.16,275.3,69.0,-40.3,51.2,-20.4,103,28,234912.0,-161395.0,566435.0,0.0,0.0,10,135901.2,11916.0,4016.0,PASS,-40.3,2024-07-08,2025-04-14,2025-06-23,49,11.9,92.5,74.3,9.8,-9.9,79.0,1104.0,1.71
I_soxs5,pmcc_c18%_L75%_t150_share_repl_soxs5%,131,False,480856.01,220.6,58.8,-38.5,47.5,-18.9,92,39,213333.0,-145764.0,517489.0,0.0,-37044.0,10,117765.31,0.0,3826.0,PASS,-38.5,2024-07-08,2025-04-14,2025-06-23,49,7.6,83.7,62.2,9.8,-10.0,70.0,655.0,1.53
I_soxs10,pmcc_c18%_L75%_t150_share_repl_soxs10%,131,False,432893.25,188.6,52.3,-35.4,44.2,-18.3,65,66,199263.0,-139639.0,496040.0,0.0,-69814.0,10,111890.55,0.0,3694.0,PASS,-35.4,2024-06-10,2025-04-21,2025-06-23,49,5.8,78.3,53.1,10.6,-9.9,50.0,-3.0,1.48
I_soxs20,pmcc_c18%_L75%_t150_share_repl_soxs20%,131,False,340271.7,126.8,38.4,-30.7,38.3,-16.4,58,73,168824.0,-114933.0,419616.0,0.0,-111038.0,10,112940.59,0.0,3374.0,PASS,-30.7,2024-06-10,2025-04-21,2025-06-16,48,1.9,65.0,34.9,11.3,-9.2,44.0,-297.0,1.25
