date,seq,ret,outcome
2022-02-16,5,0.01,target
2022-02-18,1,0.01,target
2022-02-18,2,0.01,target
2022-02-18,3,0.01,target
2022-02-18,4,0.01,target
2022-02-18,5,0.01,target
2022-02-23,1,0.01,target
2022-02-23,2,0.01,target
2022-02-23,3,0.01,target
2022-02-23,4,-0.04,stop
2022-02-23,5,0.01,target
2022-02-25,1,0.01,target
2022-02-25,2,0.01,target
2022-02-25,3,0.01,target
2022-02-25,4,0.01,target
2022-02-25,5,0.01,target
2022-02-28,1,0.01,target
2022-02-28,2,0.01,target
2022-02-28,3,0.01,target
2022-02-28,4,0.01,target
2022-02-28,5,0.01,target
2022-03-01,1,-0.04,stop
2022-03-01,2,-0.04,stop
2022-03-01,3,0.01,target
2022-03-01,4,-0.04,stop
2022-03-01,5,0.01,target
2022-03-02,1,0.01,target
2022-03-02,2,0.01,target
2022-03-02,3,0.01,target
2022-03-02,4,0.01,target
2022-03-02,5,0.01,target
2022-03-09,1,0.01,target
2022-03-09,2,0.01,target
2022-03-09,3,0.01,target
2022-03-09,4,0.01,target
2022-03-09,5,0.01,target
2022-03-10,1,0.01,target
2022-03-10,2,0.01,target
2022-03-10,3,-0.003655193420651792,eod
2022-03-11,1,0.01,target
2022-03-11,2,0.01,target
2022-03-11,3,-0.04,stop
2022-03-11,4,-0.021426287176207204,eod
2022-03-15,1,0.01,target
2022-03-15,2,0.01,target
2022-03-15,3,0.01,target
2022-03-15,4,0.010101010101010166,target
2022-03-15,5,0.01,target
2022-03-18,1,0.01,target
2022-03-18,2,0.01,target
2022-03-18,3,0.01,target
2022-03-18,4,0.01,target
2022-03-18,5,0.01,target
2022-03-22,1,0.01,target
2022-03-22,2,-0.04,stop
2022-03-22,3,0.01,target
2022-03-22,4,-0.007264529058116254,eod
2022-03-24,1,0.01,target
2022-03-24,2,0.01,target
2022-03-24,3,0.01,target
2022-03-24,4,0.01,target
2022-03-24,5,0.01,target
2022-03-25,1,0.01,target
2022-03-25,2,0.01,target
2022-03-25,3,-0.04,stop
2022-03-25,4,0.01,target
2022-03-25,5,0.01,target
2022-03-28,1,0.01,target
2022-03-28,2,-0.04,stop
2022-03-28,3,0.01,target
2022-03-28,4,0.01,target
2022-03-28,5,0.01,target
2022-03-29,1,0.01,target
2022-03-29,2,0.01,target
2022-03-29,3,0.01,target
2022-03-29,4,0.01,target
2022-03-29,5,0.003732981993851636,eod
2022-03-30,1,-0.04,stop
2022-03-30,2,-0.04,stop
2022-03-30,3,-0.004098360655737543,eod
2022-03-31,1,0.01,target
2022-03-31,2,0.01,target
2022-03-31,3,-0.04,stop
2022-03-31,4,0.01,target
2022-03-31,5,-0.04,stop
2022-04-04,1,0.01,target
2022-04-04,2,0.01,target
2022-04-04,3,0.0042867185724329016,eod
2022-04-06,1,0.01,target
2022-04-06,2,0.01,target
2022-04-06,3,0.01,target
2022-04-06,4,0.01,target
2022-04-06,5,0.01,target
2022-04-07,1,0.01,target
2022-04-07,2,-0.04,stop
2022-04-07,3,0.01,target
2022-04-07,4,0.01,target
2022-04-07,5,0.01,target
2022-04-11,1,0.01,target
2022-04-11,2,-0.03254113345521026,eod
2022-04-18,1,0.01,target
2022-04-18,2,-0.04,stop
2022-04-18,3,0.01,target
2022-04-18,4,0.01,target
2022-04-18,5,0.01,target
2022-04-19,1,0.01,target
2022-04-19,2,0.01,target
2022-04-19,3,0.01,target
2022-04-19,4,0.01,target
2022-04-19,5,0.01,target
2022-04-21,1,-0.04,stop
2022-04-21,2,-0.04,stop
2022-04-21,3,0.01,target
2022-04-21,4,0.01,target
2022-04-21,5,-0.04,stop
2022-04-22,1,0.01,target
2022-04-22,2,0.01,target
2022-04-22,3,0.01,target
2022-04-22,4,-0.04,stop
2022-04-22,5,-0.02749003984063747,eod
2022-04-28,1,0.01,target
2022-04-28,2,0.01,target
2022-04-28,3,0.01,target
2022-04-28,4,0.01,target
2022-04-28,5,0.01,target
2022-05-03,1,0.01,target
2022-05-03,2,0.01,target
2022-05-03,3,0.01,target
2022-05-03,4,0.01,target
2022-05-03,5,0.01,target
2022-05-04,1,-0.04,stop
2022-05-04,2,0.01,target
2022-05-04,3,0.01,target
2022-05-04,4,0.01,target
2022-05-04,5,0.01,target
2022-05-05,1,-0.04,stop
2022-05-05,2,0.01,target
2022-05-05,3,0.01,target
2022-05-05,4,0.01,target
2022-05-05,5,0.01,target
2022-05-09,1,-0.04,stop
2022-05-09,2,0.01,target
2022-05-09,3,0.01,target
2022-05-09,4,0.01,target
2022-05-09,5,0.01,target
2022-05-16,1,0.01,target
2022-05-16,2,0.01,target
2022-05-16,3,0.01,target
2022-05-16,4,-0.04,stop
2022-05-16,5,-0.002799813345776836,eod
2022-05-17,1,0.01,target
2022-05-17,2,0.01,target
2022-05-17,3,0.01,target
2022-05-17,4,0.01,target
2022-05-17,5,0.01,target
2022-05-18,1,-0.04,stop
2022-05-18,2,-0.04,stop
2022-05-18,3,0.01,target
2022-05-18,4,0.01,target
2022-05-18,5,-0.04,stop
2022-05-20,1,-0.04,stop
2022-05-20,2,-0.04,stop
2022-05-20,3,-0.04,stop
2022-05-20,4,0.01,target
2022-05-20,5,0.01,target
2022-05-27,1,0.01,target
2022-05-27,2,0.01,target
2022-05-27,3,0.01,target
2022-05-27,4,0.004145225843338984,eod
2022-06-01,1,0.01,target
2022-06-01,2,0.01,target
2022-06-01,3,-0.04,stop
2022-06-01,4,0.01,target
2022-06-01,5,0.01,target
2022-06-03,1,0.01,target
2022-06-03,2,-0.02925639983746442,eod
2022-06-06,1,-0.04,stop
2022-06-06,2,0.01,target
2022-06-06,3,-0.04,stop
2022-06-06,4,0.01,target
2022-06-06,5,0.0016771488469602414,eod
2022-06-07,1,0.01,target
2022-06-07,2,0.01,target
2022-06-07,3,0.01,target
2022-06-07,4,0.01,target
2022-06-07,5,0.01,target
2022-06-08,1,0.01,target
2022-06-08,2,-0.04,stop
2022-06-08,3,-0.0047784535186793375,eod
2022-06-09,1,0.01,target
2022-06-09,2,-0.04,stop
2022-06-09,3,-0.04,stop
2022-06-09,4,-0.01728164409154609,eod
2022-06-10,1,0.01,target
2022-06-10,2,0.01,target
2022-06-10,3,-0.04,stop
2022-06-10,4,-0.004248539564524645,eod
2022-06-13,1,0.01,target
2022-06-13,2,0.01,target
2022-06-13,3,0.01,target
2022-06-13,4,-0.04,stop
2022-06-13,5,0.01,target
2022-06-14,1,0.01,target
2022-06-14,2,0.01,target
2022-06-14,3,0.01,target
2022-06-14,4,0.01,target
2022-06-14,5,-0.04,stop
2022-06-15,1,0.01,target
2022-06-15,2,0.01,target
2022-06-15,3,0.01,target
2022-06-15,4,-0.04,stop
2022-06-15,5,0.01,target
2022-06-17,1,0.01,target
2022-06-17,2,0.01,target
2022-06-17,3,0.01,target
2022-06-17,4,0.01,target
2022-06-17,5,-0.014395020101154232,eod
2022-06-22,1,0.01,target
2022-06-22,2,-0.04,stop
2022-06-22,3,0.01,target
2022-06-22,4,0.01,target
2022-06-22,5,0.01,target
2022-06-24,1,0.01,target
2022-06-28,1,-0.04,stop
2022-06-28,2,-0.04,stop
2022-06-28,3,0.01,target
2022-06-28,4,0.01,target
2022-06-28,5,0.01,target
2022-06-30,1,0.01,target
2022-06-30,2,0.01,target
2022-06-30,3,0.01,target
2022-06-30,4,0.01,target
2022-06-30,5,0.01,target
2022-07-05,1,0.01,target
2022-07-05,2,0.01,target
2022-07-05,3,0.01,target
2022-07-05,4,-0.04,stop
2022-07-05,5,0.01,target
2022-07-06,1,0.01,target
2022-07-06,2,0.01,target
2022-07-06,3,0.01,target
2022-07-06,4,0.01,target
2022-07-06,5,0.01,target
2022-07-07,1,0.01,target
2022-07-07,2,0.01,target
2022-07-07,3,-0.002988851800946879,eod
2022-07-08,1,0.01,target
2022-07-08,2,0.01,target
2022-07-08,3,0.01,target
2022-07-08,4,0.01,target
2022-07-08,5,-0.04,stop
2022-07-12,1,0.01,target
2022-07-12,2,0.01,target
2022-07-12,3,0.01,target
2022-07-12,4,0.01,target
2022-07-12,5,-0.04,stop
2022-07-14,1,0.01,target
2022-07-14,2,0.01,target
2022-07-14,3,0.01,target
2022-07-14,4,0.01,target
2022-07-14,5,0.01,target
2022-07-18,1,0.01,target
2022-07-18,2,0.01,target
2022-07-18,3,0.01,target
2022-07-18,4,-0.04,stop
2022-07-18,5,-0.04,stop
2022-07-19,1,0.01,target
2022-07-19,2,0.01,target
2022-07-19,3,-0.002253166493119907,eod
2022-07-20,1,0.01,target
2022-07-20,2,0.01,target
2022-07-20,3,0.01,target
2022-07-20,4,0.01,target
2022-07-20,5,-0.001950086548785146,eod
2022-07-21,1,0.01,target
2022-07-21,2,0.01,target
2022-07-21,3,0.01,target
2022-07-21,4,0.01,target
2022-07-21,5,0.01,target
2022-07-22,1,0.01,target
2022-07-22,2,-0.04,stop
2022-07-22,3,0.01,target
2022-07-22,4,-0.010668163952835319,eod
2022-07-25,1,0.01,target
2022-07-25,2,0.01,target
2022-07-25,3,0.01,target
2022-07-25,4,0.005448846554200415,eod
2022-07-26,1,0.01,target
2022-07-26,2,-0.04,stop
2022-07-26,3,0.01,target
2022-07-27,1,0.01,target
2022-07-27,2,0.01,target
2022-07-27,3,0.01,target
2022-07-27,4,0.01,target
2022-07-27,5,0.01,target
2022-07-28,1,0.01,target
2022-07-28,2,0.01,target
2022-07-28,3,0.01,target
2022-07-28,4,0.01,target
2022-07-28,5,0.01,target
2022-08-01,1,0.01,target
2022-08-01,2,0.01,target
2022-08-01,3,-0.04,stop
2022-08-01,4,0.01,target
2022-08-01,5,0.01,target
2022-08-02,1,0.01,target
2022-08-02,2,0.01,target
2022-08-02,3,0.01,target
2022-08-02,4,0.01,target
2022-08-02,5,0.01,target
2022-08-03,1,0.01,target
2022-08-03,2,0.01,target
2022-08-03,3,0.00266011868221816,eod
2022-08-04,1,0.01,target
2022-08-04,2,0.01,target
2022-08-04,3,0.002843885645861466,eod
2022-08-05,1,-0.04,stop
2022-08-05,2,0.01,target
2022-08-05,3,0.01,target
2022-08-05,4,0.01,target
2022-08-05,5,0.0037278657968311535,eod
2022-08-08,1,-0.04,stop
2022-08-08,2,0.01,target
2022-08-08,3,0.01,target
2022-08-08,4,0.01,target
2022-08-08,5,0.0009760858955589757,eod
2022-08-10,1,0.01,target
2022-08-10,2,0.01,target
2022-08-10,3,0.01,target
2022-08-10,4,0.01,target
2022-08-11,1,-0.04,stop
2022-08-11,2,0.01,target
2022-08-11,3,-0.04,stop
2022-08-11,4,0.01,target
2022-08-11,5,-0.007031642390758486,eod
2022-08-12,1,0.01,target
2022-08-12,2,0.01,target
2022-08-12,3,0.0045203415369163835,eod
2022-08-15,1,0.01,target
2022-08-15,2,0.01,target
2022-08-15,3,0.01,target
2022-08-15,4,0.0009057346335452632,eod
2022-08-16,1,0.01,target
2022-08-16,2,0.01,target
2022-08-16,3,0.01,target
2022-08-16,4,0.01,target
2022-08-16,5,-0.020099802068523243,eod
2022-08-17,1,0.01,target
2022-08-17,2,0.01,target
2022-08-17,3,0.01,target
2022-08-17,4,0.01,target
2022-08-17,5,0.01,target
2022-08-18,1,0.01,target
2022-08-18,2,0.01,target
2022-08-18,3,0.01,target
2022-08-18,4,0.01,target
