date,sleeve,overlay,combined
2023-09-26,1416189.6933800727,-71925.9477386596,1344263.7456414131
2023-09-27,1416189.6933800727,-82510.87070464465,1333678.8226754281
2023-09-28,1416189.6933800727,-105140.70601123344,1311048.9873688393
2023-09-29,1381791.2873909958,-112805.65022798124,1268985.6371630146
2023-10-02,1381791.2873909958,-112805.65022798124,1268985.6371630146
2023-10-03,1363481.3870923836,-81415.87867368068,1282065.508418703
2023-10-04,1405711.0969702823,-101490.73257468687,1304220.3643955954
2023-10-05,1475996.6518187965,-95285.77773255768,1380710.874086239
2023-10-06,1483818.14356233,-121565.58647569304,1362252.5570866368
2023-10-09,1545112.4871748767,-121200.58913203841,1423911.8980428383
2023-10-10,1551506.4423653155,-136895.4749091887,1414610.9674561268
2023-10-11,1558084.3470991778,-146020.40850055515,1412063.9385986226
2023-10-12,1527676.4503589836,-149670.38193710172,1378006.0684218819
2023-10-13,1463356.613269211,-117185.61835183715,1346170.9949173739
2023-10-16,1477251.1104053024,-138720.46162746198,1338530.6487778404
2023-10-17,1471471.3370377624,-129595.52803609555,1341875.809001667
2023-10-18,1495762.9226826543,-105505.70335488813,1390257.2193277662
2023-10-19,1495762.9226826543,-86890.83882850053,1408872.0838541538
2023-10-20,1570551.068816787,-68640.97164576765,1501910.0971710195
2023-10-23,1529610.0045471455,-69005.96898942231,1460604.0355577231
2023-10-24,1544906.104592617,-88350.82820311916,1456555.2763894978
2023-10-25,1436762.6772711335,-27031.27446913664,1409731.4028019968
2023-10-26,1436762.6772711335,-16081.3541594969,1420681.3231116366
2023-10-27,1425562.876241384,-28856.261187409924,1396706.615053974
2023-10-30,1461013.204401707,-16081.3541594969,1444931.85024221
2023-10-31,1523410.7231177317,-37981.19477877638,1485429.5283389552
2023-11-01,1577791.2053072453,-79955.88929906202,1497835.3160081832
2023-11-02,1579297.8783239224,-117185.61835183715,1462112.2599720852
2023-11-03,1595373.512345448,-148210.3925624831,1447163.1197829647
2023-11-06,1607686.2075895695,-149670.38193710172,1458015.8256524678
2023-11-07,1599841.821882276,-157335.32615384954,1442506.4957284266
2023-11-08,1599841.821882276,-160620.30224674148,1439221.5196355346
2023-11-09,1599841.821882276,-153685.35271730294,1446156.4691649731
2023-11-10,1599841.821882276,-191645.07645738736,1408196.7454248888
2023-11-13,1647997.0767209511,-183615.1348969849,1464381.9418239663
2023-11-14,1647997.0767209511,-212084.92770204824,1435912.1490189028
2023-11-15,1647997.0767209511,-216829.89316955878,1431167.1835513923
2023-11-16,1647997.0767209511,-218654.87988783207,1429342.196833119
2023-11-17,1647997.0767209511,-226319.8241045799,1421677.2526163713
2023-11-20,1647997.0767209511,-236174.75238325566,1411822.3243376955
2023-11-21,1647997.0767209511,-227049.8187918892,1420947.257929062
2023-11-22,1647997.0767209511,-232159.78160305443,1415837.2951178967
2023-11-24,1647997.0767209511,-235444.75769594635,1412552.3190250047
2023-11-27,1647997.0767209511,-236539.74972691032,1411457.3269940407
2023-11-28,1647997.0767209511,-233984.7683213277,1414012.3083996235
2023-11-29,1647997.0767209511,-238364.7364451836,1409632.3402757675
2023-11-30,1647997.0767209511,-235079.7603522917,1412917.3163686595
2023-12-01,1647997.0767209511,-240189.7231634569,1407807.3535574942
2023-12-04,1647997.0767209511,-233984.7683213277,1414012.3083996235
2023-12-05,1647997.0767209511,-231794.78425939975,1416202.2924615513
2023-12-06,1647997.0767209511,-228144.81082285318,1419852.265898098
2023-12-07,1647997.0767209511,-242014.7098817302,1405982.366839221
2023-12-08,1647997.0767209511,-248949.6594111687,1399047.4173097825
2023-12-11,1647997.0767209511,-259534.58237715377,1388462.4943437974
2023-12-12,1664477.0474881607,-263549.553157355,1400927.4943308057
2023-12-13,1686755.3232923558,-264644.545188319,1422110.7781040368
2023-12-14,1688146.7451379015,-270119.5053431388,1418027.2397947628
2023-12-15,1650140.0839309732,-266104.5345629376,1384035.5493680355
2023-12-18,1698011.5620914507,-264279.5478446643,1433732.0142467865
2023-12-19,1698011.5620914507,-273689.0893092685,1424322.472782182
2023-12-20,1698011.5620914507,-233680.69208741927,1464330.8700040313
2023-12-21,1698011.5620914507,-273413.1693284282,1424598.3927630223
2023-12-22,1698011.5620914507,-268998.44963498274,1429013.112456468
2023-12-26,1698011.5620914507,-291072.0481022099,1406939.5139892409
2023-12-27,1698011.5620914507,-309834.60679935303,1388176.9552920978
2023-12-28,1698011.5620914507,-295210.847814815,1402800.7142766356
2023-12-29,1698011.5620914507,-294107.16789145366,1403904.394199997
