week_end,trading_days,week_ret_%,open_equity,profit,swept_to_cash,trading_equity,cash_account,total_wealth
2024-09-01,5,0.299,2031941.45,6078.72,303.94,2037716.24,118009.95,2155726.19
2024-09-08,4,3.375,2037716.24,68771.8,3438.59,2103049.45,121448.54,2224497.99
2024-09-15,5,-0.847,2103049.45,-17817.13,0.0,2085232.32,121448.54,2206680.86
2024-09-22,5,5.058,2085232.32,105477.56,5273.88,2185436.0,126722.42,2312158.42
2024-09-29,5,-1.714,2185436.0,-37466.41,0.0,2147969.59,126722.42,2274692.0
2024-10-06,5,3.339,2147969.59,71731.16,3586.56,2216114.19,130308.98,2346423.17
2024-10-13,3,2.335,2216114.19,51757.23,2587.86,2265283.56,132896.84,2398180.39
2024-10-20,3,-0.585,2265283.56,-13249.88,0.0,2252033.68,132896.84,2384930.51
2024-10-27,2,0.732,2252033.68,16495.02,824.75,2267703.94,133721.59,2401425.53
2024-11-03,1,0.358,2267703.94,8111.62,405.58,2275409.98,134127.17,2409537.15
2024-11-10,3,0.791,2275409.98,17992.42,899.62,2292502.78,135026.79,2427529.57
2024-11-17,0,0.0,2292502.78,0.0,0.0,2292502.78,135026.79,2427529.57
2024-11-24,3,0.941,2292502.78,21571.78,1078.59,2312995.97,136105.38,2449101.35
2024-12-01,2,1.472,2312995.97,34036.03,1701.8,2345330.19,137807.18,2483137.38
2024-12-08,3,0.216,2345330.19,5070.38,253.52,2350147.05,138060.7,2488207.75
2024-12-15,1,-0.005,2350147.05,-114.11,0.0,2350032.94,138060.7,2488093.64
2024-12-22,5,7.671,2350032.94,180279.58,9013.98,2521298.54,147074.68,2668373.22
2024-12-29,4,4.311,2521298.54,108684.41,5434.22,2624548.73,152508.9,2777057.63
2025-01-05,1,0.033,2624548.73,855.05,42.75,2625361.03,152551.65,2777912.68
2025-01-12,3,0.287,2625361.03,7529.43,376.47,2632513.99,152928.12,2785442.11
2025-01-19,3,0.193,2632513.99,5093.16,254.66,2637352.49,153182.78,2790535.27
2025-01-26,0,0.0,2637352.49,0.0,0.0,2637352.49,153182.78,2790535.27
2025-02-02,3,1.798,2637352.49,47419.72,2370.99,2682401.23,155553.77,2837954.99
2025-02-09,5,1.343,2682401.23,36035.83,1801.79,2716635.26,157355.56,2873990.82
2025-02-16,2,0.371,2716635.26,10082.07,504.1,2726213.22,157859.66,2884072.89
2025-02-23,0,0.0,2726213.22,0.0,0.0,2726213.22,157859.66,2884072.89
2025-03-02,5,7.215,2726213.22,196701.94,9835.1,2913080.07,167694.76,3080774.83
2025-03-09,5,-1.385,2913080.07,-40347.99,0.0,2872732.08,167694.76,3040426.84
2025-03-16,5,10.523,2872732.08,302287.92,15114.4,3159905.61,182809.16,3342714.76
2025-03-23,5,3.504,3159905.61,110722.74,5536.14,3265092.22,188345.29,3453437.51
2025-03-30,3,-0.627,3265092.22,-20464.27,0.0,3244627.95,188345.29,3432973.24
2025-04-06,3,4.371,3244627.95,141813.78,7090.69,3379351.04,195435.98,3574787.02
2025-04-13,4,1.053,3379351.04,35585.19,1779.26,3413156.97,197215.24,3610372.21
2025-04-20,4,7.525,3413156.97,256837.72,12841.89,3657152.8,210057.13,3867209.93
2025-04-27,4,3.923,3657152.8,143480.49,7174.02,3793459.26,217231.15,4010690.41
2025-05-04,5,-1.79,3793459.26,-67885.14,0.0,3725574.12,217231.15,3942805.27
2025-05-11,5,0.866,3725574.12,32279.2,1613.96,3756239.36,218845.11,3975084.47
2025-05-18,5,0.881,3756239.36,33099.46,1654.97,3787683.84,220500.08,4008183.93
2025-05-25,4,1.307,3787683.84,49502.85,2475.14,3834711.55,222975.23,4057686.77
2025-06-01,4,3.514,3834711.55,134759.56,6737.98,3962733.13,229713.2,4192446.34
2025-06-08,5,1.369,3962733.13,54266.71,2713.34,4014286.5,232426.54,4246713.04
2025-06-15,5,5.11,4014286.5,205132.22,10256.61,4209162.11,242683.15,4451845.26
2025-06-22,3,0.168,4209162.11,7092.26,354.61,4215899.76,243037.76,4458937.52
2025-06-29,5,-0.486,4215899.76,-20481.38,0.0,4195418.39,243037.76,4438456.15
2025-07-06,0,0.0,4195418.39,0.0,0.0,4195418.39,243037.76,4438456.15
2025-07-13,0,0.0,4195418.39,0.0,0.0,4195418.39,243037.76,4438456.15
2025-07-20,0,0.0,4195418.39,0.0,0.0,4195418.39,243037.76,4438456.15
2025-07-27,0,0.0,4195418.39,0.0,0.0,4195418.39,243037.76,4438456.15
2025-08-03,0,0.0,4195418.39,0.0,0.0,4195418.39,243037.76,4438456.15
2025-08-10,5,2.615,4195418.39,109703.0,5485.15,4299636.24,248522.91,4548159.15
2025-08-17,0,0.0,4299636.24,0.0,0.0,4299636.24,248522.91,4548159.15
2025-08-24,1,0.339,4299636.24,14577.82,728.89,4313485.17,249251.8,4562736.97
2025-08-31,3,0.625,4313485.17,26960.51,1348.03,4339097.65,250599.83,4589697.48
2025-09-07,0,0.0,4339097.65,0.0,0.0,4339097.65,250599.83,4589697.48
2025-09-14,0,0.0,4339097.65,0.0,0.0,4339097.65,250599.83,4589697.48
2025-09-21,0,0.0,4339097.65,0.0,0.0,4339097.65,250599.83,4589697.48
2025-09-28,0,0.0,4339097.65,0.0,0.0,4339097.65,250599.83,4589697.48
2025-10-05,0,0.0,4339097.65,0.0,0.0,4339097.65,250599.83,4589697.48
2025-10-12,3,2.878,4339097.65,124865.43,6243.27,4457719.8,256843.1,4714562.91
2025-10-19,5,7.3,4457719.8,325397.99,16269.9,4766847.89,273113.0,5039960.89
2025-10-26,4,2.631,4766847.89,125432.79,6271.64,4886009.04,279384.64,5165393.68
2025-11-02,3,1.379,4886009.04,67378.72,3368.94,4950018.83,282753.58,5232772.4
2025-11-09,3,8.066,4950018.83,399264.37,19963.22,5329319.98,302716.79,5632036.78
2025-11-16,4,2.184,5329319.98,116395.95,5819.8,5439896.13,308536.59,5748432.73
2025-11-23,4,-5.409,5439896.13,-294217.68,0.0,5145678.45,308536.59,5454215.04
2025-11-30,3,0.204,5145678.45,10517.82,525.89,5155670.38,309062.48,5464732.86
2025-12-07,5,1.309,5155670.38,67484.83,3374.24,5219780.96,312436.72,5532217.69
2025-12-14,0,0.0,5219780.96,0.0,0.0,5219780.96,312436.72,5532217.69
2025-12-21,5,2.334,5219780.96,121838.23,6091.91,5335527.28,318528.64,5654055.92
2025-12-28,3,-0.006,5335527.28,-338.82,0.0,5335188.46,318528.64,5653717.1
2026-01-04,0,0.0,5335188.46,0.0,0.0,5335188.46,318528.64,5653717.1
2026-01-11,1,-1.09,5335188.46,-58146.3,0.0,5277042.16,318528.64,5595570.8
2026-01-18,3,1.897,5277042.16,100099.81,5004.99,5372136.98,323533.63,5695670.6
2026-01-25,2,1.477,5372136.98,79370.23,3968.51,5447538.69,327502.14,5775040.83
2026-02-01,4,-2.552,5447538.69,-139023.7,0.0,5308514.99,327502.14,5636017.13
2026-02-08,3,4.839,5308514.99,256874.97,12843.75,5552546.21,340345.89,5892892.09
2026-02-15,3,-1.503,5552546.21,-83431.3,0.0,5469114.91,340345.89,5809460.79
2026-02-22,4,4.023,5469114.91,220042.67,11002.13,5678155.44,351348.02,6029503.46
2026-03-01,4,7.281,5678155.44,413429.63,20671.48,6070913.59,372019.5,6442933.09
2026-03-08,4,-0.568,6070913.59,-34481.85,0.0,6036431.75,372019.5,6408451.25
2026-03-15,5,3.362,6036431.75,202930.24,10146.51,6229215.48,382166.01,6611381.49
2026-03-22,3,1.137,6229215.48,70842.23,3542.11,6296515.59,385708.12,6682223.72
2026-03-29,5,-1.58,6296515.59,-99462.66,0.0,6197052.93,385708.12,6582761.05
2026-04-05,4,6.553,6197052.93,406063.41,20303.17,6582813.17,406011.3,6988824.46
2026-04-12,5,-1.681,6582813.17,-110667.34,0.0,6472145.83,406011.3,6878157.12
2026-04-19,5,-3.872,6472145.83,-250570.09,0.0,6221575.73,406011.3,6627587.03
2026-04-26,2,-0.357,6221575.73,-22234.23,0.0,6199341.51,406011.3,6605352.8
2026-05-03,3,2.135,6199341.51,132365.28,6618.26,6325088.53,412629.56,6737718.09
2026-05-10,4,4.005,6325088.53,253302.31,12665.12,6565725.72,425294.67,6991020.4
2026-05-17,4,6.36,6565725.72,417552.96,20877.65,6962401.03,446172.32,7408573.36
2026-05-24,5,2.418,6962401.03,168329.21,8416.46,7122313.79,454588.78,7576902.57
2026-05-31,3,0.424,7122313.79,30163.97,1508.2,7150969.56,456096.98,7607066.54
2026-06-07,5,-0.74,7150969.56,-52891.8,0.0,7098077.75,456096.98,7554174.73
2026-06-14,4,-0.248,7098077.75,-17609.72,0.0,7080468.03,456096.98,7536565.01
2026-06-21,4,-2.011,7080468.03,-142412.57,0.0,6938055.46,456096.98,7394152.45
2026-06-28,5,7.672,6938055.46,532285.91,26614.3,7443727.08,482711.28,7926438.35
2026-07-05,4,-5.876,7443727.08,-437386.92,0.0,7006340.16,482711.28,7489051.44
2026-07-12,5,-1.024,7006340.16,-71749.58,0.0,6934590.58,482711.28,7417301.85
2026-07-19,5,11.806,6934590.58,818679.13,40933.96,7712335.75,523645.23,8235980.98
2026-07-26,3,5.013,7712335.75,386627.89,19331.39,8079632.24,542976.63,8622608.87
