exp,year,n_bars,pct_priced,n_episodes,n_drift_moved,atm_pct_stale_moved
20231201,2023,134978,13.65852212953222,9029,3035,17.88057271464828
20231208,2023,110320,14.11711385061639,6926,1962,16.582966606264563
20231215,2023,144700,18.903939184519697,12753,3609,7.315192244133524
20231222,2023,139898,12.49767687886889,7865,2448,19.005500550055004
20231229,2023,147188,13.096855721933853,9365,2486,16.333580064150013
20240105,2024,24095,23.299439717783773,1780,586,1.6706443914081146
20240112,2024,50402,23.407801277727074,4338,1128,2.167741935483871
20240119,2024,94247,18.90458051715174,7325,2271,4.9536676192950555
20240126,2024,110284,18.77244205868485,8360,2901,10.479768786127169
20240202,2024,120159,19.048926838605514,9793,3285,15.20430499817585
20240209,2024,127269,16.915352521038116,9595,3381,18.952380952380953
20240216,2024,186677,20.006213941728227,16812,5580,8.99702235121179
20240223,2024,166216,15.669971603215094,11776,4375,19.52111131420216
20240301,2024,173958,14.079260511157866,10954,4038,20.00625562028385
20240308,2024,151917,17.16792722341805,10258,3595,24.121204066715396
20240315,2024,224518,19.471490036433607,18718,6430,9.267861092678611
20240322,2024,175301,16.019303940080203,11298,4273,24.998085024894674
20240328,2024,186361,13.89668439212067,11292,4357,24.32753591876418
20240405,2024,182016,14.366319444444445,11007,3913,21.61572052401747
20240412,2024,169060,15.402224062463029,10654,3709,25.94927254802378
20240419,2024,245611,18.59973698246414,20055,7476,14.895568942845786
20240426,2024,173721,15.649230662959573,11139,4602,30.466012106467407
20240503,2024,168902,16.83343003635244,11541,4616,25.621516688584133
20240510,2024,156815,15.170104900679144,10538,3849,24.20183668733216
20240517,2024,596845,12.381941710159253,38321,15040,23.143524669018277
20240524,2024,208165,15.302284245670503,14046,4299,23.15409309791332
20240531,2024,215433,13.720274981084607,13810,4779,23.53145724149922
20240607,2024,164715,15.528640378836172,10618,3491,22.159325431924053
20240614,2024,164320,15.768622200584225,10909,3438,20.250854431429804
20240621,2024,269706,15.308521130416084,20129,6885,19.27321668909825
20240628,2024,191812,13.485600483807062,11061,4119,25.777665263757477
20240705,2024,148772,13.862151480117227,9133,3603,27.4896967460171
20240712,2024,159368,14.561894483208674,9624,3681,28.39415853006556
20240719,2024,251151,17.846235929779297,20255,8093,20.126207757385234
20240726,2024,213189,15.653715717039809,13701,6750,32.62226362366093
20240802,2024,195670,16.35304338938008,12035,6618,36.7340828048017
20240809,2024,186241,16.201588264667823,10859,7046,37.12542685032422
20240816,2024,917637,10.358998165941435,46392,23894,35.210559882496185
20240823,2024,233354,14.12617739571638,13004,7064,37.18941443542619
20240830,2024,249087,17.210051106641455,16789,8984,30.032414910858996
20240906,2024,182174,15.994049644845038,11858,6656,32.02372764786795
20240913,2024,188099,15.366376216779463,11015,5976,31.75406127904586
20240920,2024,345230,18.204964806071313,27104,14641,23.164096636878753
20240927,2024,208639,16.38380168616606,14256,6722,26.85368012528086
20241004,2024,192602,17.345614271918254,13643,5962,25.024356297842726
20241011,2024,183359,16.480783599386996,12854,5194,23.036991199119914
20241018,2024,288903,18.53701761490881,23733,9527,18.333017821889282
20241025,2024,212747,15.088814413364233,13705,4960,25.111701981853567
20241101,2024,207059,16.278452035410197,14199,4662,24.372210203466878
20241108,2024,164478,18.57816850885833,12831,3489,22.829994061200885
20241115,2024,975166,10.070285469345732,49461,23018,36.18631535197518
20241122,2024,186282,18.13809171041754,13845,4041,22.82057401992959
20241129,2024,188842,15.536797958081358,13041,4237,20.74922600619195
20241206,2024,159306,17.743838901234103,11998,3561,18.006564303768815
20241213,2024,153398,17.46437372064825,11043,3202,19.311892875111266
20241220,2024,371900,17.407098682441514,29196,9136,17.734884801385338
20241227,2024,178979,17.60876974393644,13941,4443,17.10307916398496
20250103,2025,10112,33.524525316455694,949,284,1.21012101210121
20250110,2025,35866,35.09730664138739,3592,1184,2.0007020007020007
20250117,2025,95590,25.24845695156397,8307,2563,4.415734670266101
