bucket,,iv,rv,vrp
60d,2024-09-13,1.0442,0.9143818101560358,0.1298181898439642
60d,2024-09-16,1.04433,0.9351007680845509,0.10922923191544909
60d,2024-09-17,1.0366,0.946020548639049,0.09057945136095091
60d,2024-09-18,1.035275,0.9545835284918769,0.08069147150812306
60d,2024-09-19,1.013075,0.9087706536678063,0.10430434633219365
60d,2024-09-20,1.0125250000000001,0.9033756549656737,0.10914934503432638
60d,2024-09-23,1.0062,0.8913610367319486,0.11483896326805143
60d,2024-09-24,1.0010475,0.8969376661053565,0.10410983389464357
60d,2024-09-25,1.00434,0.9058498504389322,0.09849014956106783
60d,2024-09-26,0.980775,0.8699710422503061,0.11080395774969387
60d,2024-10-03,1.0783,0.8793973109764097,0.19890268902359032
60d,2024-10-10,0.98305,0.8827374934085319,0.10031250659146806
60d,2024-10-11,0.963625,0.8955359423319006,0.06808905766809936
60d,2024-10-14,0.927175,0.9101868170894711,0.016988182910528837
60d,2024-10-15,1.0139,0.8260923078438891,0.18780769215611093
60d,2024-10-16,1.0245,0.8363375777299829,0.18816242227001712
60d,2024-10-17,1.013125,0.8459588153064873,0.16716618469351274
60d,2024-10-18,0.96035,0.8521004030495841,0.10824959695041592
60d,2024-10-21,0.9626250000000001,0.8900356738415792,0.07258932615842084
60d,2024-10-22,0.96775,0.9006761511046528,0.06707384889534718
60d,2024-10-23,0.9771,0.9103125845765431,0.0667874154234569
60d,2024-10-24,0.9724999999999999,0.9345416453245068,0.03795835467549313
60d,2024-10-25,0.9401249999999999,0.9344539288396866,0.00567107116031329
60d,2024-10-28,0.955875,0.9245672881980042,0.031307711801995874
60d,2024-10-29,0.93675,0.9166942511575894,0.02005574884241057
60d,2024-10-30,0.972275,0.8878471814191495,0.08442781858085047
60d,2024-10-31,1.0604749999999998,0.8465388192121378,0.21393618078786203
60d,2024-11-07,0.89985,0.8601016504282515,0.039748349571748554
60d,2024-11-08,0.8679250000000001,0.8648141415247534,0.003110858475246614
60d,2024-11-11,0.9081999999999999,0.8551769383439052,0.05302306165609472
60d,2024-11-12,0.9227749999999999,0.8627660401946826,0.060008959805317286
60d,2024-11-13,0.9339749999999999,0.8579420633005664,0.07603293669943345
60d,2024-11-14,0.91955,0.8581516647618121,0.06139833523818783
60d,2024-11-15,0.9669500000000001,0.8146043788390157,0.15234562116098438
60d,2024-11-18,0.93575,0.8244782952035622,0.11127170479643778
60d,2024-11-19,0.9299999999999999,0.8352558103855998,0.09474418961440012
60d,2024-11-20,0.971875,0.8431416267497533,0.1287333732502467
60d,2024-11-21,0.8857999999999999,0.8473129742846872,0.038487025715312706
60d,2024-11-22,0.868425,0.8513017145192924,0.01712328548070763
60d,2024-11-25,0.843825,0.849545798121728,-0.005720798121727988
60d,2024-11-26,0.8644000000000001,0.8525880008268316,0.011811999173168442
60d,2024-11-27,0.8205250000000001,0.8555992573527091,-0.03507425735270908
60d,2024-12-05,0.8519500000000001,1.0789383494625058,-0.22698834946250568
60d,2024-12-12,0.914425,1.066575697542615,-0.152150697542615
60d,2024-12-13,0.8751,1.0443121579004278,-0.16921215790042776
60d,2024-12-16,0.8816000000000002,1.0116951485516492,-0.13009514855164905
60d,2024-12-17,0.90175,1.0195599634242567,-0.11780996342425665
60d,2024-12-18,0.9698,0.9898780313853218,-0.020078031385321826
60d,2024-12-19,1.0074,0.9919664656146421,0.015433534385357994
60d,2024-12-20,0.962475,0.9943206284359496,-0.031845628435949624
60d,2024-12-23,0.9098575,0.9854196562514096,-0.0755621562514096
