gate,dip,stop,is_on_days,is_on_rate,is_on_sharpe,is_bp_per_on_day,is_trades_per_on_day,is_sharpe,is_maxdd,is_cagr,is_win_rate,is_worst_day,is_yrs_pos
3.74,0.0025,0.015,425,0.4292929292929293,0.7826345032572402,8.216940619427332,4.484705882352941,0.5127742661049993,-0.28493268713579867,0.07650707382087107,0.8426023084994754,-0.03127184518942479,3/5
2.5,0.0025,0.015,742,0.7494949494949495,0.7795516462158344,7.3082180027269334,4.3261455525606465,0.6747941835065294,-0.298511920961431,0.12399773212598353,0.8327102803738318,-0.03127184518942479,3/5
2.5,0.003,0.0221,742,0.7494949494949495,0.773517115018746,8.322854524903748,4.0,0.6695737041229605,-0.3845127680730748,0.1379752083554897,0.8338948787061995,-0.04480000000000013,3/5
3.74,0.0025,0.03,425,0.4292929292929293,0.7687008691314248,9.60229753636971,4.298823529411765,0.5036574289078168,-0.35719083788782724,0.08568289690479758,0.8839627805145046,-0.06060000000000017,3/5
2.5,0.004,0.04,742,0.7494949494949495,0.7669112620681237,9.403225666993027,3.334231805929919,0.6638588903204293,-0.5191941100554051,0.15162766172493414,0.8019401778496362,-0.08060000000000007,3/5
3.34,0.002,0.03,527,0.5323232323232323,0.7568431034047208,8.48253807173341,4.303605313092979,0.5521478638273256,-0.3907371726631529,0.09651023433272199,0.8928571428571429,-0.06060000000000017,3/5
4.25,0.0025,0.04,307,0.3101010101010101,0.7512365003190881,10.634003824480878,4.283387622149837,0.4184860237629938,-0.2881917577145682,0.06494236214274052,0.8912547528517111,-0.08060000000000007,3/5
5.0,0.0055,0.03,191,0.19292929292929292,0.7477932214718797,12.027014345987405,3.774869109947644,0.3288595478059039,-0.19514857665572483,0.04341174378640522,0.7877947295423023,-0.060607501875468886,3/5
2.5,0.005,0.015,742,0.7494949494949495,0.7475218896345197,8.043697987998803,3.417789757412399,0.6470843825890139,-0.3685086129199101,0.13228143174417561,0.7200315457413249,-0.03127184518942479,3/5
3.0,0.0055,0.015,625,0.6313131313131313,0.7424022640184077,8.431682138878134,3.3664,0.5898134201841924,-0.3779978544799336,0.11425268576695147,0.7105513307984791,-0.03127184518942479,3/5
4.25,0.002,0.03,307,0.3101010101010101,0.7342989756152136,9.09245378325787,4.521172638436482,0.40906486963176086,-0.2695005906039588,0.05725995583836596,0.899135446685879,-0.06060000000000017,3/5
3.74,0.0025,0.04,425,0.4292929292929293,0.7335829315421776,9.800685367992058,4.183529411764706,0.48067669071334385,-0.3817042169605688,0.08452651233108877,0.8886389201349831,-0.08060000000000007,3/5
3.34,0.0025,0.015,527,0.5323232323232323,0.7290611927444669,7.245321861614194,4.436432637571158,0.5319002211189934,-0.2931368768016802,0.08365625136917787,0.8378956372968349,-0.03127184518942479,3/5
2.5,0.0025,0.0221,742,0.7494949494949495,0.7082774226310753,7.317841052636423,4.171159029649596,0.6131302514829503,-0.36131885215457127,0.1190034393367232,0.8555735056542811,-0.04480000000000013,3/5
3.74,0.003,0.04,425,0.4292929292929293,0.7073690472185217,9.726869150723656,4.056470588235294,0.463520017779076,-0.4319365849417426,0.08211718039806315,0.8683294663573086,-0.08060000000000007,3/5
5.0,0.004,0.04,191,0.19292929292929292,0.6896730808512374,10.853728116964124,3.905759162303665,0.3033405827265709,-0.2295826654068268,0.03810814514009597,0.8431635388739946,-0.08060000000000007,2/5
3.34,0.004,0.04,527,0.5323232323232323,0.6762591800645144,9.106264903446156,3.5483870967741935,0.4934115322109763,-0.4759992922182672,0.09523418743420886,0.8171122994652407,-0.08060000000000007,3/5
2.5,0.002,0.015,742,0.7494949494949495,0.6733473403906565,5.97563379673631,4.46900269541779,0.5829065317446598,-0.379962526478302,0.0984749948443191,0.8546441495778045,-0.03127184518942479,3/5
3.34,0.003,0.0221,527,0.5323232323232323,0.6630014097157259,7.593429314275856,4.1878557874762805,0.48374638997283326,-0.33345362441006865,0.08264894215725849,0.8454916175804259,-0.04480000000000013,3/5
4.25,0.0025,0.0221,307,0.3101010101010101,0.6543934487207178,7.910389658830908,4.465798045602606,0.3646064092176835,-0.24487131507056392,0.048387964574095665,0.8679795769511306,-0.04480000000000013,3/5
