date,atr5,or30,thr80,pos10,on,ret,n_fills,n_stops
2025-05-08,3.586611674413194,1.0876173748564573,2.4350972381108007,0.8695652173913005,False,0.0,0,0
2025-05-09,3.566894460804908,0.8782515419683578,2.4291404022354905,0.5801526717557173,False,0.0,0,0
2025-05-12,3.248229384654324,3.31836327345309,2.423725700603769,0.09586466165413375,False,0.0,0,0
2025-05-13,3.133766985759123,1.4020462296324359,2.4291404022354905,0.9189189189189158,False,0.0,0,0
2025-05-14,2.8860463522717987,1.8732713100326992,2.4291404022354905,0.295302013422825,False,0.0,0,0
2025-05-15,2.8105482701789586,2.401273885350307,2.423725700603769,0.761273209549069,False,0.0,0,0
2025-05-16,2.6377703300902047,1.124508027737854,2.423725700603769,0.9944444444444495,False,0.0,0,0
2025-05-19,2.8438487146424962,2.396745932415527,2.423725700603769,0.8851174934725784,False,0.0,0,0
2025-05-20,2.742469495608726,1.2602433573379692,2.423725700603769,0.679802955665022,False,0.0,0,0
2025-05-21,2.763248932527497,0.9779640566457052,2.423725700603769,0.5649350649350708,False,0.0,0,0
2025-05-22,3.4054196161556036,1.1733333333333273,2.423725700603769,0.18181818181817888,False,0.0,0,0
2025-05-23,3.459016219128005,1.9143054595715345,2.423725700603769,0.7581227436823159,False,0.0,0,0
2025-05-27,3.7126633687488395,1.3268523384130386,2.423725700603769,0.7475247524752392,False,0.0,0,0
2025-05-28,3.84957320809742,0.9477459016393559,2.423725700603769,0.24324324324324947,False,0.0,0,0
2025-05-29,3.960689209921175,1.614465611882467,2.423725700603769,0.5480000000000018,False,0.0,0,0
2025-05-30,3.419897629855049,1.026573971801692,2.423725700603769,0.25316455696203144,False,0.0,0,0
2025-06-02,3.4766456860783834,2.015129776966221,2.423725700603769,0.16828478964401608,False,0.0,0,0
2025-06-03,3.465503957226536,3.633084256634897,2.423725700603769,0.014184397163122748,False,0.0,0,0
2025-06-04,3.48604002343047,0.8225245175577242,2.423725700603769,0.19999999999999563,False,0.0,0,0
2025-06-05,3.399273346045746,2.517383466391963,2.423725700603769,0.08439897698209319,False,0.0,0,0
2025-06-06,3.352540158794594,1.8341054769308793,2.4291404022354905,0.7647058823529377,False,0.0,0,0
2025-06-09,3.11825737726399,2.1387355745107857,2.4291404022354905,0.09090909090909166,False,0.0,0,0
