date,move_by_1545_pct,move_to_close_pct,overnight_pct
2024-07-16,-0.5691,0.4922,-10.245
2024-07-17,-9.4523,-12.2846,5.063
2024-07-18,-4.3205,-4.3944,0.2323
2024-07-19,-8.4202,-9.2314,6.4681
2024-07-22,5.2758,5.6155,-4.591
2024-07-23,0.2772,-0.1188,-4.1559
2024-07-24,-9.4982,-12.2238,-3.2401
2024-07-25,-1.6141,-4.6254,6.184
2024-07-26,-1.018,-0.5919,3.459
2024-07-29,-2.1443,-3.7814,1.3633
2024-07-30,-12.2935,-12.3879,13.5875
2024-07-31,5.5556,5.4374,-5.339
2024-08-01,-17.5155,-16.7301,-12.7429
2024-08-02,-5.4682,-3.9948,-19.8364
2024-08-05,16.1565,18.5799,2.5457
2024-08-06,3.6014,0.035,9.5871
2024-08-07,-14.5275,-16.7305,8.9626
2024-08-08,9.4855,10.3605,-2.384
2024-08-09,1.6281,0.8141,0.3225
2024-08-12,0.2893,1.1572,4.0433
2024-08-13,7.4969,8.1089,2.551
2024-08-14,-4.4223,-3.3444,6.5906
2024-08-15,7.8694,7.3073,-2.8307
2024-08-16,1.6757,2.3975,-1.1326
2024-08-19,3.5642,6.2373,-1.3221
2024-08-20,-1.7296,-2.4604,1.6463
2024-08-21,1.5706,2.5031,1.8692
2024-08-22,-12.3736,-11.7619,4.3988
2024-08-23,1.2768,3.141,-1.6584
2024-08-26,-6.4183,-6.0156,-2.3013
2024-08-27,5.5875,5.6423,-1.0392
2024-08-28,-3.0454,-4.1743,1.2568
2024-08-29,-1.2142,-2.4015,6.8804
2024-08-30,-2.1717,0.6205,-5.1044
2024-09-03,-19.2339,-18.3646,-3.3256
2024-09-04,3.9216,4.0936,-4.2904
2024-09-05,1.6207,2.6552,-1.9496
2024-09-06,-10.2845,-11.0387,4.5455
2024-09-09,0.5895,1.2159,0.3281
2024-09-10,2.3619,2.8706,1.9048
2024-09-11,10.1765,11.5611,-1.4587
2024-09-12,0.0315,0.189,2.232
2024-09-13,2.9213,2.829,-4.1879
2024-09-16,0.3746,0.3122,3.5759
2024-09-17,-4.4131,-3.3023,1.2127
2024-09-18,-2.6421,-4.3625,11.368
2024-09-19,2.9988,1.2976,-3.0467
2024-09-20,-1.4391,-1.4684,1.2519
2024-09-23,-0.5593,-0.1472,2.7123
2024-09-24,1.6648,0.7463,-1.0265
2024-09-25,2.1031,3.0539,12.479
2024-09-26,-0.597,-1.4925,0.9079
2024-09-27,-6.4234,-5.9235,-3.744
2024-09-30,-1.4897,1.0483,-0.2454
2024-10-01,-8.8275,-8.3083,0.0591
2024-10-02,4.6677,3.2496,-2.5458
2024-10-03,2.1133,3.4635,6.163
2024-10-04,-2.1669,-1.7924,-2.072
2024-10-07,-0.4176,1.2249,0.0275
2024-10-08,3.2125,2.883,-0.4538
2024-10-09,3.1376,3.513,-3.885
2024-10-10,0.8084,1.7515,-2.3791
2024-10-11,5.2261,4.6575,1.9912
2024-10-14,3.8286,3.499,-0.8084
2024-10-15,-15.9052,-14.8679,3.7134
2024-10-16,-4.1678,-3.6364,7.8642
2024-10-17,-3.901,-5.2193,2.9537
2024-10-18,-3.2,-2.6759,-1.2192
2024-10-21,-0.5741,0.775,-1.9664
2024-10-22,1.1628,0.814,-0.7495
2024-10-23,-2.4397,-1.9169,2.3077
2024-10-24,-1.0989,-0.8676,2.6247
2024-10-25,1.4777,0.341,0.0567
2024-10-28,0.6232,0.1983,0.3112
2024-10-29,8.1218,7.022,-7.7409
2024-10-30,-2.1404,-3.1107,-2.9403
2024-10-31,-8.4217,-9.0882,1.994
2024-11-01,1.173,0.6517,-0.7136
2024-11-04,-0.196,-0.8167,0.2636
2024-11-05,2.2346,3.3191,5.9592
2024-11-06,3.4286,2.5865,4.8359
2024-11-07,1.3699,1.4537,-1.7951
2024-11-08,-0.928,-0.3937,-2.9935
2024-11-11,-5.3275,-4.5997,-1.2206
2024-11-12,-2.1625,-2.1625,-2.6524
2024-11-13,-2.8868,-3.9247,3.0313
2024-11-14,-3.5959,-3.2037,-5.3378
2024-11-15,-5.4247,-4.8537,0.15
2024-11-18,3.7828,3.7828,-1.0481
2024-11-19,1.3514,1.6435,-1.8671
2024-11-20,-1.8661,-0.622,3.3911
2024-11-21,1.9608,1.4617,-0.8424
2024-11-22,-0.0708,0.8142,3.8259
2024-11-25,-0.5409,-0.8114,2.4207
2024-11-26,-7.4567,-6.3915,-1.5997
2024-11-27,-3.396,-2.565,2.1127
2024-12-02,6.7577,5.9874,-2.053
2024-12-03,-0.1352,0.3719,6.0881
2024-12-04,-1.9341,-2.0292,-0.3238
2024-12-05,-6.0754,-5.3606,0.2747
2024-12-06,1.3014,1.5411,-1.8237
2024-12-09,-0.2064,0.4816,0.6842
2024-12-10,-8.6306,-7.9171,4.6933
2024-12-11,3.9534,2.8592,-2.3008
2024-12-12,-0.2812,-0.2109,6.7112
2024-12-13,1.0537,1.3829,1.3681
2024-12-16,5.3342,4.4344,-2.8607
2024-12-17,-1.7099,-1.4566,2.088
2024-12-18,-13.9081,-12.6495,0.5031
2024-12-19,-5.7562,-6.1494,-1.749
2024-12-20,6.2307,5.8437,2.1612
2024-12-23,6.4539,6.4539,2.2643
2024-12-26,3.2096,2.006,-1.93
