week_starting,nights,cash_pnl,equity,week_pct,running_cagr_pct,drawdown_pct
2024-12-30,3,8259.88,179610.66,4.82,16.07,-0.6
2025-01-06,2,-608.94,179001.72,-0.339,15.89,-0.94
2025-01-13,4,13929.12,192930.84,7.782,18.02,0.0
2025-01-20,3,-1576.83,191354.01,-0.817,17.68,-0.82
2025-01-27,0,0.0,191354.01,0.0,17.59,-0.82
2025-02-03,0,0.0,191354.01,0.0,17.5,-0.82
2025-02-10,0,0.0,191354.01,0.0,17.41,-0.82
2025-02-17,3,3210.95,194564.96,1.678,17.8,0.0
2025-02-24,2,5776.58,200341.54,2.969,18.56,0.0
2025-03-03,2,-7446.5,192895.04,-3.717,17.37,-3.72
2025-03-10,0,0.0,192895.04,0.0,17.29,-3.72
2025-03-17,0,0.0,192895.04,0.0,17.2,-3.72
2025-03-24,0,0.0,192895.04,0.0,17.11,-3.72
2025-03-31,0,0.0,192895.04,0.0,17.03,-3.72
2025-04-07,0,0.0,192895.04,0.0,16.94,-3.72
2025-04-14,0,0.0,192895.04,0.0,16.86,-3.72
2025-04-21,0,0.0,192895.04,0.0,16.78,-3.72
2025-04-28,0,0.0,192895.04,0.0,16.7,-3.72
2025-05-05,1,19147.0,212042.05,9.926,19.23,0.0
2025-05-12,0,0.0,212042.05,0.0,19.13,0.0
2025-05-19,2,-1785.67,210256.38,-0.842,18.81,-0.84
2025-05-26,2,7809.65,218066.03,3.714,19.72,0.0
2025-06-02,4,7811.91,225877.94,3.582,20.6,0.0
2025-06-09,4,712.63,226590.57,0.315,20.59,0.0
2025-06-16,3,2687.96,229278.53,1.186,20.81,0.0
2025-06-23,5,12542.6,241821.12,5.47,22.18,0.0
2025-06-30,4,-5808.39,236012.73,-2.402,21.41,-2.4
2025-07-07,4,-710.79,235301.94,-0.301,21.22,-2.7
2025-07-14,5,6023.28,241325.22,2.56,21.81,-0.21
2025-07-21,4,-544.16,240781.05,-0.225,21.65,-0.43
2025-07-28,4,3525.55,244306.61,1.464,21.94,0.0
2025-08-04,4,11145.16,255451.77,4.562,23.04,0.0
2025-08-11,4,-2041.58,253410.18,-0.799,22.72,-0.8
2025-08-18,4,-868.7,252541.48,-0.343,22.52,-1.14
2025-08-25,4,-4336.1,248205.37,-1.717,21.95,-2.84
2025-09-01,4,6203.26,254408.64,2.499,22.51,-0.41
2025-09-08,5,8884.27,263292.91,3.492,23.32,0.0
2025-09-15,5,10892.31,274185.22,4.137,24.29,0.0
2025-09-22,5,-2873.8,271311.42,-1.048,23.9,-1.05
2025-09-29,4,6660.64,277972.05,2.455,24.44,0.0
2025-10-06,3,3659.24,281631.3,1.316,24.67,0.0
2025-10-13,0,0.0,281631.3,0.0,24.56,0.0
2025-10-20,0,0.0,281631.3,0.0,24.45,0.0
2025-10-27,0,0.0,281631.3,0.0,24.34,0.0
2025-11-03,0,0.0,281631.3,0.0,24.23,0.0
2025-11-10,3,-12315.57,269315.73,-4.373,22.97,-4.37
2025-11-17,1,-5619.4,263696.33,-2.087,22.33,-6.37
2025-11-24,0,0.0,263696.33,0.0,22.23,-6.37
2025-12-01,0,0.0,263696.33,0.0,22.14,-6.37
2025-12-08,2,-9301.26,254395.07,-3.527,21.14,-9.67
2025-12-15,1,8070.89,262465.96,3.173,21.83,-6.81
2025-12-22,4,-4012.95,258453.01,-1.529,21.35,-8.23
2025-12-29,3,9839.01,268292.01,3.807,22.19,-4.74
2026-01-05,3,-652.56,267639.46,-0.243,22.03,-4.97
2026-01-12,3,2601.83,270241.29,0.972,22.17,-4.04
2026-01-19,3,10716.98,280958.27,3.966,23.04,-0.24
2026-01-26,4,8436.57,289394.84,3.003,23.67,0.0
2026-02-02,2,12126.67,301521.52,4.19,24.58,0.0
2026-02-09,0,0.0,301521.52,0.0,24.48,0.0
2026-02-16,0,0.0,301521.52,0.0,24.38,0.0
2026-02-23,0,0.0,301521.52,0.0,24.27,0.0
2026-03-02,2,-30165.79,271355.72,-10.005,21.63,-10.0
2026-03-09,2,11161.01,282516.73,4.113,22.5,-6.3
2026-03-16,0,0.0,282516.73,0.0,22.41,-6.3
2026-03-23,0,0.0,282516.73,0.0,22.32,-6.3
2026-03-30,0,0.0,282516.73,0.0,22.23,-6.3
2026-04-06,0,0.0,282516.73,0.0,22.14,-6.3
2026-04-13,0,0.0,282516.73,0.0,22.05,-6.3
2026-04-20,0,0.0,282516.73,0.0,21.96,-6.3
2026-04-27,3,4671.37,287188.1,1.653,22.25,-4.75
2026-05-04,2,10135.64,297323.74,3.529,22.97,-1.39
2026-05-11,0,0.0,297323.74,0.0,22.88,-1.39
2026-05-18,0,0.0,297323.74,0.0,22.78,-1.39
2026-05-25,0,0.0,297323.74,0.0,22.69,-1.39
2026-06-01,0,0.0,297323.74,0.0,22.6,-1.39
2026-06-08,0,0.0,297323.74,0.0,22.51,-1.39
2026-06-15,0,0.0,297323.74,0.0,22.43,-1.39
2026-06-22,0,0.0,297323.74,0.0,22.34,-1.39
2026-06-29,0,0.0,297323.74,0.0,22.25,-1.39
2026-07-06,0,0.0,297323.74,0.0,22.16,-1.39
2026-07-13,0,0.0,297323.74,0.0,22.08,-1.39
2026-07-20,0,0.0,297323.74,0.0,21.99,-1.39
2026-07-27,0,0.0,297323.74,0.0,21.91,-1.39
