decision_date,leg,soxl_on_pct,xlu_on_pct,net_sleeve_0_pct,net_sleeve_10_pct,net_sleeve_20_pct,net_sleeve_30_pct
2023-09-11,SOXL,-2.0979,-0.0158,-2.1037,-2.1083,-2.1129,-2.1175
2023-09-12,SOXL,-0.1913,0.0472,-0.1971,-0.1954,-0.1937,-0.192
2023-09-13,SOXL,2.8706,0.6223,2.8648,2.924,2.9832,3.0424
2023-09-14,SOXL,-1.9843,-0.1687,-1.9901,-2.01,-2.0299,-2.0498
2023-09-15,SOXL,-2.3303,-0.7391,-2.3361,-2.4158,-2.4955,-2.5751
2023-09-18,SOXL,-1.002,-0.0777,-1.0078,-1.0186,-1.0294,-1.0402
2023-09-19,SOXL,1.3402,0.4061,1.3344,1.372,1.4096,1.4472
2023-09-20,SOXL,-3.6876,-0.078,-3.6934,-3.7043,-3.7151,-3.7259
2023-09-21,SOXL,2.757,-0.4416,2.7512,2.704,2.6569,2.6097
2023-09-22,SOXL,-1.3998,-0.5846,-1.4056,-1.4698,-1.534,-1.5983
2023-09-25,SOXL,-2.6879,-0.4114,-2.6937,-2.7378,-2.782,-2.8262
2023-09-26,SOXL,2.3202,-0.1957,2.3144,2.2918,2.2692,2.2466
2023-09-27,SOXL,-0.7349,0.3825,-0.7407,-0.7055,-0.6702,-0.635
2023-09-28,SOXL,4.2382,0.8669,4.2324,4.3161,4.3997,4.4834
2023-09-29,SOXL,0.3708,-0.577,0.365,0.3015,0.238,0.1746
2023-10-02,SOXL,-2.7197,-0.7831,-2.7255,-2.8068,-2.8881,-2.9695
2023-10-03,SOXL,1.5642,0.5102,1.5584,1.6064,1.6544,1.7024
2023-10-04,SOXL,-0.3219,-0.2642,-0.3277,-0.3571,-0.3866,-0.416
2023-10-05,SOXL,-1.8519,-1.24,-1.8577,-1.9847,-2.1117,-2.2388
2023-10-06,SOXL,-3.1282,-0.1747,-3.134,-3.1572,-3.1805,-3.2037
2023-10-09,SOXL,1.0331,0.0,1.0273,1.0242,1.0212,1.0182
