leg,return_on_capital_pct,return_on_equity_pct
SOXL,1.0959,1.0959
SOXL,-1.2929,-1.2929
SOXL,0.9896,0.9896
SOXL,-4.1462,-4.1462
SOXL,-7.5327,-7.5327
SOXL,0.6677,0.6677
SOXL,-1.8949,-1.8949
SOXL,4.6372,4.6372
SOXL,1.6533,1.6533
SOXL,0.2156,0.2156
SOXL,4.8139,4.8139
SOXL,1.6387,1.6387
SOXL,0.7489,0.7489
SOXL,-0.4159,-0.4159
SOXL,0.9932,0.9932
SOXL,-0.6946,-0.6946
SOXL,7.5451,7.5451
SOXL,-0.2139,-0.2139
SOXL,0.6918,0.6918
SOXL,0.7784,0.7784
SOXL,-1.0548,-1.0548
SOXL,-5.0409,-5.0409
SOXL,0.3195,0.3195
SOXL,3.0539,3.0539
SOXL,0.2001,0.2001
SOXL,-1.9851,-1.9851
SOXL,5.6628,5.6628
SOXL,1.1212,1.1212
SOXL,12.0005,12.0005
SOXL,2.6334,2.6334
SOXL,0.0714,0.0714
SOXL,-0.5895,-0.5895
SOXL,0.6333,0.6333
SOXL,11.7452,11.7452
SOXL,-6.4442,-6.4442
XLU,0.4305,1.0763
XLU,0.2848,0.712
XLU,0.1684,0.421
XLU,0.7478,1.8696
XLU,0.0817,0.2043
XLU,0.2041,0.5103
XLU,0.6361,1.5901
XLU,0.5591,1.3977
XLU,-0.0166,-0.0415
XLU,0.3435,0.8588
XLU,-0.0277,-0.0692
XLU,-0.1276,-0.319
XLU,-0.4624,-1.1561
XLU,-0.0952,-0.2379
XLU,-0.0615,-0.1537
XLU,-0.0391,-0.0978
XLU,-0.1967,-0.4917
XLU,-0.4236,-1.0589
XLU,0.2733,0.6832
XLU,0.028,0.07
SOXL,5.1806,5.1806
SOXL,-3.5707,-3.5707
SOXL,-8.8788,-8.8788
SOXL,-2.4762,-2.4762
SOXL,-4.1589,-4.1589
SOXL,1.0425,1.0425
XLU,0.7407,1.8518
XLU,0.4038,1.0094
XLU,0.1309,0.3272
XLU,0.1068,0.267
XLU,0.5126,1.2815
XLU,0.0167,0.0418
XLU,-0.5793,-1.4483
XLU,0.4466,1.1166
XLU,0.0631,0.1576
XLU,-0.0737,-0.1842
XLU,0.0063,0.0157
XLU,0.1682,0.4204
XLU,0.4984,1.246
XLU,0.1004,0.2509
XLU,-0.1804,-0.451
SOXL,-3.8386,-3.8386
SOXL,3.3515,3.3515
XLU,-0.0629,-0.1572
XLU,0.0299,0.0747
XLU,0.6148,1.5371
XLU,-0.1556,-0.3889
XLU,-0.8142,-2.0354
SOXL,-1.508,-1.508
SOXL,0.04,0.04
SOXL,1.2159,1.2159
SOXL,-2.744,-2.744
SOXL,0.6554,0.6554
SOXL,0.475,0.475
SOXL,7.3699,7.3699
SOXL,6.4888,6.4888
SOXL,3.7919,3.7919
SOXL,-3.2854,-3.2854
SOXL,-0.8862,-0.8862
SOXL,2.8945,2.8945
SOXL,-2.8253,-2.8253
XLU,0.0773,0.1934
XLU,-0.1099,-0.2749
SOXL,10.0104,10.0104
SOXL,5.3796,5.3796
SOXL,-5.5723,-5.5723
SOXL,3.8735,3.8735
SOXL,5.3643,5.3643
SOXL,-1.998,-1.998
SOXL,-1.3056,-1.3056
SOXL,4.3284,4.3284
SOXL,6.1807,6.1807
SOXL,0.4079,0.4079
SOXL,-4.7461,-4.7461
SOXL,-3.7119,-3.7119
SOXL,2.4478,2.4478
