R1 PUT DIAGONAL INCOME ENGINE -- BACKTEST REPORT
run: 2026-07-19 10:00
NOTE: EOD decisions (option data is EOD); Monday-10:00 spec needs intraday option data (already on the request list).

BASE CONFIG {'short_delta': 0.225, 'anchor_mness': 1.0, 'anchor_dte': 150, 'anchor_dte_lo': 120, 'anchor_dte_hi': 180, 'anchor_roll_dte': 45, 'anchor_roll_drift': 0.1, 'roll_up': True, 'short_ratio': 1.0, 'no_anchor': False, 'delta_defense': False, 'defense_trigger': 0.5, 'sizing': 'notional', 'invest_frac': 0.75, 'sweep_frac': 0.25, 'start_capital': 150000.0}

  config: d22%_m100%_t150_notional_r10%
  weeks: 131
  blown: False
  end_wealth: 52456.0
  total_ret_pct: -65.0
  cagr_pct: -34.1
  max_dd_pct: -65.1
  ann_vol_pct: 16.5
  worst_wk_pct: -7.2
  income_weeks: 71
  loss_weeks: 55
  short_prem_collected: 105370.0
  short_realized: -30028.0
  anchor_realized: -64810.0
  anchor_rolls: 61
  sweep_final: 35288.0
  commissions: 2707.0
  qa_wealth_recon: PASS

PARAMETER GRID (sorted by end wealth)
                                config  weeks  blown  end_wealth  total_ret_pct  cagr_pct  max_dd_pct  ann_vol_pct  worst_wk_pct  income_weeks  loss_weeks  short_prem_collected  short_realized  anchor_realized  anchor_rolls  sweep_final  commissions qa_wealth_recon
          d15%_m85%_t150_notional_r10%    131  False    52878.60          -64.7     -33.9       -65.4         16.6          -9.3            75          54               73071.0        -32211.0         -61736.0            63     28249.95       3175.0            PASS
   d22%_m90%_t150_notional_r20%_dnonly    131  False    52870.95          -64.8     -33.9       -67.1         34.6         -33.7            96          35              250801.0        -66424.0         -27691.0            14     55826.95       3014.0            PASS
         d22%_m100%_t120_notional_r10%    131  False    52747.05          -64.8     -34.0       -64.9         16.4          -7.2            71          55              105446.0        -29952.0         -64593.0            61     35307.00       2709.0            PASS
         d22%_m100%_t150_notional_r10%    131  False    52456.00          -65.0     -34.1       -65.1         16.5          -7.2            71          55              105370.0        -30028.0         -64810.0            61     35288.00       2707.0            PASS
  d22%_m100%_t150_notional_r15%_dnonly    131  False    51956.80          -65.4     -34.4       -66.7         32.5         -30.1            96          35              229066.0        -56499.0         -38681.0            15     54107.55       2863.0            PASS
         d25%_m100%_t150_notional_r10%    131  False    51919.75          -65.4     -34.4       -65.5         16.1          -7.3            69          55              114936.0        -36152.0         -59346.0            60     34735.30       2582.0            PASS
  d22%_m100%_t150_notional_r10%_dnonly    131  False    51781.20          -65.5     -34.4       -66.8         30.8         -28.4            96          35              220288.0        -53839.0         -41496.0            17     52509.80       2883.0            PASS
    d22%_m100%_t150_notional_r10%_x1.5    131  False    50636.90          -66.2     -35.0       -67.1         19.0         -11.1            70          54              133799.0        -45187.0         -51333.0            60     36742.90       2843.0            PASS
   d22%_m90%_t150_notional_r10%_dnonly    131  False    50610.85          -66.3     -35.0       -68.5         33.7         -32.5            96          35              239068.0        -63883.0         -32491.0            17     52906.10       3015.0            PASS
          d20%_m90%_t150_notional_r10%    131  False    50073.60          -66.6     -35.3       -67.2         16.4          -7.6            72          54               91850.0        -32592.0         -64563.0            61     29811.65       2772.0            PASS
          d25%_m90%_t150_notional_r10%    131  False    50003.80          -66.7     -35.3       -66.8         15.7          -8.5            70          56              117542.0        -35834.0         -61555.0            61     31359.60       2608.0            PASS
     d22%_m90%_t150_notional_r10%_x1.5    131  False    49705.55          -66.9     -35.5       -67.9         20.0         -13.4            70          54              135195.0        -47184.0         -50249.0            60     33450.10       2861.0            PASS
         d20%_m100%_t150_notional_r10%    131  False    48990.35          -67.3     -35.9       -68.2         17.7          -7.9            72          54               90006.0        -30200.0         -68066.0            61     33004.65       2744.0            PASS
           d30%_m85%_t150_premium_r10%    131  False    47839.20          -68.1     -36.5       -68.7         43.5         -33.5            19          20              230301.0        -21322.0         -76713.0            19     47663.65       4126.0            PASS
           d20%_m85%_t150_premium_r10%    131  False    47837.45          -68.1     -36.5       -72.3         40.3         -33.5            36          24              170881.0         18086.0        -115431.0            30     47627.15       4817.0            PASS
          d15%_m90%_t150_notional_r10%    131  False    47518.15          -68.3     -36.6       -68.9         17.9          -8.6            74          52               66141.0        -30792.0         -68767.0            61     28016.20       2923.0            PASS
         d15%_m100%_t150_notional_r10%    131  False    46905.95          -68.7     -37.0       -69.5         19.8          -8.2            74          52               64743.0        -29469.0         -70743.0            61     31374.85       2881.0            PASS
      d22%_m100%_t150_notional_r10%_x2    131  False    46598.80          -68.9     -37.1       -71.2         24.2         -15.9            69          52              152174.0        -60620.0         -39929.0            58     36639.85       2852.0            PASS
       d22%_m90%_t150_notional_r10%_x2    131  False    45225.80          -69.8     -37.9       -72.1         26.1         -18.0            69          52              153439.0        -61923.0         -39981.0            58     33804.55       2870.0            PASS
           d25%_m85%_t150_premium_r10%    131  False    44678.05          -70.2     -38.2       -69.6         42.4         -32.2            21          19              186474.0        -11365.0         -89860.0            20     44521.15       4097.0            PASS
       d22%_m85%_t150_premium_r10%_def    131  False    42605.95          -71.6     -39.3       -70.9         40.1         -27.4            33          24              193306.0         11051.0        -113686.0            27     42461.20       4759.0            PASS
       d30%_m85%_t150_premium_r10%_def    131  False    42183.80          -71.9     -39.6       -71.3         41.2         -25.1            24          25              255533.0         -2644.0        -100500.0            28     41988.35       4672.0            PASS
      d22%_m100%_t150_notional_r10%_x3    131  False    41298.80          -72.5     -40.1       -76.9         33.4         -26.4            59          44              177553.0        -77357.0         -28477.0            49     36656.05       2868.0            PASS
       d20%_m85%_t150_premium_r10%_def    131  False    39973.00          -73.4     -40.8       -73.7         42.1         -26.3            36          25              148178.0         23118.0        -128478.0            29     39827.65       4667.0            PASS
           d22%_m85%_t150_premium_r10%    131  False    39891.65          -73.4     -40.9       -72.2         41.3         -32.0            25          21              161680.0        -16108.0         -90101.0            23     39781.30       3899.0            PASS
       d22%_m90%_t150_notional_r10%_x3    131  False    39037.70          -74.0     -41.4       -78.4         36.0         -28.9            60          41              176461.0        -81248.0         -26874.0            48     34104.50       2841.0            PASS
       d25%_m85%_t150_premium_r10%_def    131  False    37944.85          -74.7     -42.1       -74.1         42.9         -29.6            30          21              193727.0         -5373.0        -102273.0            25     37782.40       4409.0            PASS
          d30%_m100%_t150_premium_r10%    131  False    37751.90          -74.8     -42.2       -75.2         38.2         -29.0            39          33              157473.0         -9206.0        -100188.0            39     37366.90       2854.0            PASS
           d30%_m90%_t150_premium_r10%    131  False    37111.40          -75.3     -42.6       -74.6         41.0         -31.9            31          24              173710.0          3155.0        -112851.0            26     36931.10       3193.0            PASS
          d20%_m100%_t150_premium_r10%    131  False    35749.35          -76.2     -43.4       -79.0         39.6         -30.5            40          32              109208.0          8148.0        -119293.0            40     35251.15       3105.0            PASS
      d22%_m100%_t150_premium_r10%_def    131  False    35612.80          -76.3     -43.5       -76.9         40.1         -27.8            44          35              131278.0          1979.0        -113109.0            42     35103.65       3258.0            PASS
           d20%_m90%_t150_premium_r10%    131  False    35486.65          -76.3     -43.6       -79.3         41.0         -33.9            36          24              124725.0         27531.0        -138486.0            29     35222.65       3559.0            PASS
          d25%_m100%_t150_premium_r10%    131  False    35474.05          -76.4     -43.6       -76.7         39.3         -28.9            39          33              129431.0         -5331.0        -106365.0            39     35101.50       2831.0            PASS
      d30%_m100%_t150_premium_r10%_def    131  False    34905.60          -76.7     -43.9       -77.4         37.9         -26.1            38          38              173176.0         -7639.0        -104299.0            41     34422.90       3156.0            PASS
      d20%_m100%_t150_premium_r10%_def    131  False    34893.50          -76.7     -43.9       -77.8         42.0         -27.2            54          36              101236.0         10164.0        -122066.0            43     34446.55       3205.0            PASS
