entry_date,exit_date,entry,exit,tdays,ret
2021-11-09,2021-11-16,65.0,65.65,5,0.010000000000000009
2021-11-16,2021-11-16,65.56,66.21560000000001,0,0.010000000000000009
2021-11-16,2021-11-18,66.29,67.96,2,0.02519233670236809
2021-11-18,2021-11-18,67.26,67.93260000000001,0,0.010000000000000009
2021-11-18,2021-11-19,68.3,68.983,1,0.010000000000000009
2021-11-19,2021-11-19,68.85,69.5385,0,0.010000000000000009
2021-11-19,2021-11-22,69.62,70.31620000000001,1,0.010000000000000009
2021-11-22,2021-11-22,70.63,71.3363,0,0.010000000000000009
2021-11-22,2021-11-22,71.51,72.22510000000001,0,0.010000000000000009
2021-11-22,2021-12-27,72.16,72.88159999999999,23,0.010000000000000009
2021-12-27,2021-12-28,72.81,74.07,1,0.017305315203955285
2021-12-28,2021-12-28,72.08,72.8008,0,0.010000000000000009
2021-12-28,2022-01-04,72.27,72.9927,5,0.010000000000000009
2022-01-04,2022-01-04,73.22,73.9522,0,0.010000000000000009
2022-01-04,2026-04-10,73.9,74.63900000000001,1069,0.010000000000000009
2026-04-10,2026-04-10,75.58,76.33579999999999,0,0.010000000000000009
2026-04-10,2026-04-10,75.06,75.81060000000001,0,0.010000000000000009
2026-04-10,2026-04-10,76.21,76.9721,0,0.010000000000000009
2026-04-10,2026-04-10,77.4,78.174,0,0.010000000000000009
2026-04-10,2026-04-13,78.27,79.0527,1,0.010000000000000009
2026-04-13,2026-04-13,78.99,79.7799,0,0.010000000000000009
2026-04-13,2026-04-13,79.74,80.53739999999999,0,0.010000000000000009
2026-04-13,2026-04-14,80.58,83.27,1,0.033382973442541486
2026-04-14,2026-04-14,82.03,82.8503,0,0.010000000000000009
2026-04-14,2026-04-14,82.61,83.4361,0,0.010000000000000009
2026-04-14,2026-04-14,83.38,84.21379999999999,0,0.010000000000000009
2026-04-14,2026-04-14,84.18,85.02180000000001,0,0.010000000000000009
2026-04-14,2026-04-15,85.0,85.85,1,0.010000000000000009
2026-04-15,2026-04-15,84.58,85.4258,0,0.010000000000000009
2026-04-15,2026-04-16,85.42,86.27420000000001,1,0.010000000000000009
2026-04-16,2026-04-16,86.99,87.8599,0,0.010000000000000009
2026-04-16,2026-04-16,88.02,88.9002,0,0.010000000000000009
2026-04-16,2026-04-17,89.09,93.17,1,0.04579638567740485
2026-04-17,2026-04-17,92.39,93.3139,0,0.010000000000000009
2026-04-17,2026-04-17,93.36,94.2936,0,0.010000000000000009
2026-04-17,2026-04-20,94.11,95.97,1,0.01976410583359889
2026-04-20,2026-04-21,95.63,97.97,1,0.02446930879431153
2026-04-21,2026-04-21,98.61,99.5961,0,0.010000000000000009
2026-04-21,2026-04-22,99.65,102.94,1,0.03301555444054172
2026-04-22,2026-04-22,102.4,103.424,0,0.010000000000000009
