final_equity,total_ret_pct,cagr_pct,max_dd_pct,avg_deployed_pct,wins,stalls,soxs_pnl,target,stall,mode,sizing
208369.0,38.9,7.6,-71.8,77.7,859,172,-78426.0,2.0,3,soxs_recover,half_cash
286403.0,90.9,15.5,-70.1,77.3,867,174,-69911.0,2.0,3,soxs_fixed5,half_cash
64078.0,-57.3,-17.2,-70.8,84.4,826,162,-129986.0,2.0,3,soxs_lot,half_cash
679479.0,353.0,40.0,-75.8,72.8,819,130,0.0,2.0,4,none,half_cash
235179.0,56.8,10.5,-91.8,100.0,819,130,0.0,2.0,4,stop,full
214609.0,43.1,8.3,-70.3,72.9,810,130,-121041.0,2.0,4,soxs_recover,half_cash
266495.0,77.7,13.6,-68.0,74.1,819,130,-143429.0,2.0,4,soxs_fixed5,half_cash
82748.0,-44.8,-12.4,-61.7,80.1,782,124,-184732.0,2.0,4,soxs_lot,half_cash
461784.0,207.9,28.4,-77.3,69.3,730,100,0.0,2.0,5,none,half_cash
283929.0,89.3,15.3,-90.9,100.0,730,100,0.0,2.0,5,stop,full
101366.0,-32.4,-8.4,-83.4,69.5,727,100,-71619.0,2.0,5,soxs_recover,half_cash
312310.0,108.2,17.7,-68.8,70.2,730,100,-139572.0,2.0,5,soxs_fixed5,half_cash
129286.0,-13.8,-3.3,-51.1,77.1,736,99,-199438.0,2.0,5,soxs_lot,half_cash
306476.0,104.3,17.2,-79.6,65.5,620,78,0.0,2.0,7,none,half_cash
290500.0,93.7,15.8,-90.9,100.0,620,78,0.0,2.0,7,stop,full
280985.0,87.3,15.0,-75.8,65.0,619,78,-41525.0,2.0,7,soxs_recover,half_cash
480711.0,220.5,29.6,-62.0,64.7,620,78,-84344.0,2.0,7,soxs_fixed5,half_cash
117834.0,-21.4,-5.2,-58.1,73.3,603,76,-98966.0,2.0,7,soxs_lot,half_cash
390234.0,160.2,23.7,-88.4,89.7,1077,541,0.0,2.5,1,none,half_cash
417127.0,178.1,25.6,-90.2,100.0,1077,541,0.0,2.5,1,stop,full
106442.0,-29.0,-7.4,-86.3,89.3,998,498,-72616.0,2.5,1,soxs_recover,half_cash
238507.0,59.0,10.9,-77.9,90.0,1048,503,-116463.0,2.5,1,soxs_fixed5,half_cash
81441.0,-45.7,-12.7,-57.3,92.7,677,319,-235509.0,2.5,1,soxs_lot,half_cash
429218.0,186.1,26.4,-83.0,82.9,847,279,0.0,2.5,2,none,half_cash
320115.0,113.4,18.4,-91.2,100.0,847,279,0.0,2.5,2,stop,full
