date,equity,cash,shares,spot,call_K,put_K,call_val,put_val
2023-09-08,51843.44935311357,2073.449293032088,2100,21.48,,20.0,0.0,4662.000060081482
2023-09-11,51608.1442705856,2079.6442925885176,2100,21.45,29.0,20.0,1.9757584040933474e-06,4483.499979972839
2023-09-12,50799.64421247979,2079.6442925885176,2100,20.91,29.0,20.0,8.900643562149687e-11,4808.999919891357
2023-09-13,51156.6443026021,2079.6442925885176,2100,21.25,29.0,20.0,5.2020068412549855e-15,4452.00001001358
2023-09-14,51566.1442525342,2079.6442925885176,2100,21.67,29.0,20.0,5.527375352547349e-27,3979.4999599456787
2023-09-15,49077.64426254778,2079.6442925885176,2100,19.74,,20.0,0.0,5543.999969959259
2023-09-18,49168.99435268801,2065.9942926067074,2100,19.96,29.0,20.0,1.8123294627180735e-10,5187.000060081482
2023-09-19,48391.994472851155,2065.9942926067074,2100,19.4,29.0,20.0,9.805127579087233e-17,5586.000180244446
2023-09-20,47404.99424253881,2065.9942926067074,2100,18.44,29.0,20.0,1.6105993931584579e-32,6614.999949932098
2023-09-21,46606.994192470906,2065.9942926067074,2100,17.41,29.0,20.0,4.006843612689934e-83,7979.999899864197
2023-09-22,46921.99429260671,2065.9942926067074,2100,17.86,,20.0,0.0,7350.0
2023-09-25,47107.84434267461,2052.3442926067073,2100,18.23,29.0,20.0,1.1064321188857977e-16,6772.500050067902
2023-09-26,46341.34434267461,2052.3442926067073,2100,17.24,29.0,20.0,1.79500772374345e-28,8085.000050067902
2023-09-27,46656.344192470904,2052.3442926067073,2100,17.69,29.0,20.0,7.803125057404855e-39,7454.999899864197
2023-09-28,47380.84440275609,2052.3442926067073,2100,18.64,29.0,20.0,2.21436991756296e-62,6184.5001101493835
2023-09-29,47569.844202484484,2052.3442926067073,2100,18.88,,20.0,0.0,5869.499909877777
2023-10-02,47797.69445282438,2038.6942926070933,2100,19.12,29.0,20.0,2.945027190433025e-13,5607.000160217285
2023-10-03,46873.694392742895,2038.6942926070933,2100,17.9,29.0,20.0,2.0118409619413125e-24,7245.000100135803
2023-10-04,47272.69424253919,2038.6942926070933,2100,18.64,29.0,20.0,5.743583903406959e-31,6089.999949932098
2023-10-05,46999.69419247129,2038.6942926070933,2100,18.36,29.0,20.0,9.993619061485361e-67,6404.999899864197
2023-10-06,47976.19429260709,2038.6942926070933,2100,19.5,,20.0,0.0,4987.5
2023-10-09,47768.7485842712,2051.9789771179785,2100,19.36,29.0,20.0,21.230553064065855,5082.000160217285
2023-10-10,48430.903072691144,2051.9789771179785,2100,20.09,29.0,20.0,20.575894413257032,4210.49998998642
2023-10-11,48881.450488761555,2051.9789771179785,2100,20.56,29.0,20.0,21.52848835642648,3675.0
2023-10-12,49019.06461946255,2051.9789771179785,2100,20.68,29.0,20.0,20.41434263505299,3559.4999849796295
2023-10-13,47180.97895709082,2051.9789771179785,2100,18.98,,20.0,0.0,5270.999979972839
2023-10-16,47984.12400597581,2256.6239759351242,2100,19.79,29.0,20.0,5.320898005792178e-11,4168.500030040741
2023-10-17,47438.124046030185,2256.6239759351242,2100,19.3,29.0,20.0,3.451649427382047e-17,4651.500070095062
2023-10-18,46524.62387579932,2256.6239759351242,2100,18.28,29.0,20.0,8.442318796696936e-34,5879.999899864197
2023-10-19,45800.124076070926,2256.6239759351242,2100,17.41,29.0,20.0,4.006843612689934e-83,6982.500100135803
2023-10-20,45264.624026003024,2256.6239759351242,2100,16.63,,20.0,0.0,8085.000050067902
2023-10-23,44963.346302309175,182.3459875966538,2200,16.38,29.0,20.0,1.2337330470837764e-25,8745.000314712524
2023-10-24,45127.16868740882,182.3459875966538,2200,17.04,29.0,20.0,23.177247735748036,7479.999947547913
2023-10-25,44424.34567288413,182.3459875966538,2200,14.96,29.0,20.0,8.238529374235136e-70,11329.999685287476
2023-10-26,44512.346092500826,182.3459875966538,2200,14.7,29.0,20.0,3.415898590633952e-147,11990.000104904175
2023-10-27,44545.34567288413,182.3459875966538,2200,15.14,,20.0,0.0,11054.999685287476
2023-10-30,44278.04588269248,168.0459875966538,2200,14.5,29.0,20.0,4.911167830585291e-38,12209.999895095825
2023-10-31,44267.045987596655,168.0459875966538,2200,14.92,29.0,20.0,8.901437509004628e-47,11275.0
2023-11-01,44322.045777788306,168.0459875966538,2200,15.97,29.0,20.0,1.1174416058320546e-56,9019.99979019165
2023-11-02,44454.04588269247,168.0459875966538,2200,17.08,29.0,20.0,1.909790890174682e-89,6709.999895095825
2023-11-03,45015.04599808707,168.0459875966538,2200,18.39,,20.0,0.0,4389.0000104904175
2023-11-06,44802.7459561254,153.7459875966539,2200,18.28,29.0,20.0,1.8640480516951243e-16,4432.999968528748
2023-11-07,44879.74602955832,153.7459875966539,2200,18.6,29.0,20.0,1.432173686195903e-20,3806.00004196167
2023-11-08,44846.74596661582,153.7459875966539,2200,18.68,29.0,20.0,1.2119634045808392e-30,3596.999979019165
2023-11-09,44648.74602955832,153.7459875966539,2200,18.37,29.0,20.0,1.509259304964933e-66,4081.00004196167
2023-11-10,46727.74599284186,153.7459875966539,2200,20.61,,20.0,0.0,1232.0000052452087
2023-11-13,45747.27251292478,172.738571055231,2200,20.0,29.0,20.0,20.46604501743099,1594.9999868869781
2023-11-14,49155.738575964184,172.738571055231,2200,22.17,29.0,20.0,6.640926371434584e-07,209.0000055730343
2023-11-15,50134.73857113271,172.738571055231,2200,22.67,29.0,20.0,4.48966446249936e-09,88.00000008195639
2023-11-16,50167.738570317626,172.738571055231,2200,22.71,29.0,20.0,7.613159153515173e-19,32.99999926239252
2023-11-17,51102.73857105523,172.738571055231,2200,23.15,,,0.0,0.0
2023-11-20,52610.60979540726,2365.1098487049862,1900,24.19,29.0,22.0,47.499998938292265,4331.999945640564
2023-11-21,50216.60984135897,2365.1098487049862,1900,22.82,29.0,22.0,2.5465830991969857e-05,4493.500018119812
2023-11-22,50891.10975805563,2365.1098487049862,1900,22.99,29.0,22.0,5.029957454944e-08,4844.99990940094
2023-11-24,50891.10993930405,2365.1098487049862,1900,23.09,,22.0,0.0,4655.00009059906
2023-11-27,50554.71299800508,2370.714848303661,1900,22.93,29.0,22.0,0.0019771372642053606,4617.000126838684
2023-11-28,50070.2147252448,2370.714848303661,1900,22.54,29.0,22.0,5.280083239486029e-06,4873.499882221222
2023-11-29,51020.214884187335,2370.714848303661,1900,23.25,29.0,22.0,3.559446924038945e-07,4474.500036239624
2023-11-30,50412.21482112394,2370.714848303661,1900,22.77,29.0,22.0,1.714896627218401e-18,4778.499972820282
2023-12-01,50725.714875483376,2370.714848303661,1900,23.09,,22.0,0.0,4484.000027179718
2023-12-04,49734.03424963245,2376.3198479023354,1900,22.29,29.0,22.0,18.785562030254706,5025.499963760376
2023-12-05,49270.59177053552,2376.3198479023354,1900,21.91,29.0,22.0,35.728004887572204,5300.999927520752
2023-12-06,48812.17045750625,2376.3198479023354,1900,21.48,29.0,22.0,19.149444755523554,5643.000054359436
2023-12-07,50714.039925160476,2376.3198479023354,1900,23.18,29.0,22.0,17.279886502232873,4312.999963760376
2023-12-08,51253.81983884243,2376.3198479023354,1900,23.72,,22.0,0.0,3809.499990940094
2023-12-11,54396.609910942294,2507.6098446917313,1900,26.12,29.0,22.0,284.9999971687794,2546.000063419342
2023-12-12,55213.609856299736,2507.6098446917313,1900,26.68,29.0,22.0,237.49999292194843,2251.500004529953
2023-12-13,56866.60985828159,2507.6098446917313,1900,27.93,29.0,22.0,532.0000022649765,1824.0000158548355
2023-12-14,58643.10974729774,2507.6098446917313,1900,30.21,29.0,22.0,2641.000086069107,1377.4999886751175
2023-12-15,58909.10984016178,57598.10984469173,0,30.57,,22.0,0.0,1310.999995470047
2023-12-18,59383.72985224543,1091.7298511129397,1900,30.29,32.0,22.0,598.5000237822533,1339.5000249147415
2023-12-19,60229.229887352565,1091.7298511129397,1900,30.77,32.0,22.0,532.0000022649765,1206.5000385046005
2023-12-20,56201.22988841427,1091.7298511129397,1900,28.05,32.0,22.0,47.499998938292265,1862.000036239624
2023-12-21,59849.22982994957,1091.7298511129397,1900,30.26,32.0,22.0,66.49999851360917,1329.999977350235
2023-12-22,60362.229835258106,1091.7298511129397,1900,30.53,,22.0,0.0,1263.4999841451645
2023-12-26,62806.959832857225,2443.9598339897175,1900,32.16,32.0,22.0,1653.000009059906,912.0000079274178
2023-12-27,63414.95984191714,2443.9598339897175,1900,32.36,32.0,22.0,1377.4999886751175,864.4999966025352
2023-12-28,63452.95983738718,2443.9598339897175,1900,32.19,32.0,22.0,978.499972820282,826.4999762177467
2023-12-29,62996.959831724744,2443.9598339897175,1900,31.4,,22.0,0.0,892.9999977350235
2024-01-02,57271.02483689455,2665.0248254281064,1900,28.01,32.0,22.0,85.49999985843897,1472.5000113248825
2024-01-03,54431.24930421987,2665.0248254281064,1900,26.21,32.0,22.0,18.27543966908312,1985.499918460846
2024-01-04,53338.02476200876,2665.0248254281064,1900,25.51,32.0,22.0,3.885053168330062e-16,2203.999936580658
2024-01-05,53860.5248163682,2665.0248254281064,1900,25.94,,22.0,0.0,1909.499990940094
2024-01-08,57728.449803266725,2742.4498267658582,1900,28.47,32.0,22.0,142.4999985843897,1035.4999750852585
2024-01-09,57737.9498433285,2742.4498267658582,1900,28.46,32.0,22.0,132.99999702721834,1054.500013589859
2024-01-10,57262.9498327822,2742.4498267658582,1900,28.17,32.0,22.0,66.49999851360917,1064.000004529953
2024-01-11,57717.67436775038,2742.4498267658582,1900,28.46,32.0,22.0,20.275457882993575,921.4999988675117
2024-01-12,57063.44979052623,2742.4498267658582,1900,28.07,,22.0,0.0,987.999963760376
2024-01-16,58964.87480035765,2819.87482810361,1900,29.23,32.0,22.0,161.50000169873238,769.4999739527702
2024-01-17,57710.87480991302,2819.87482810361,1900,28.42,32.0,22.0,47.499998938292265,940.4999807476997
2024-01-18,62147.37482130868,2819.87482810361,1900,31.19,32.0,22.0,446.49999886751175,512.9999920725822
2024-01-19,63904.874830368586,63610.37482810361,0,34.9,,22.0,0.0,294.5000022649765
2024-01-22,63333.51087399168,4658.010853979424,1700,35.25,36.5,22.0,1461.999973654747,212.4999936670065
2024-01-23,64251.51085955245,4658.010853979424,1700,35.91,36.5,22.0,1597.9999959468842,144.50000151991844
2024-01-24,65688.01080673528,4658.010853979424,1700,37.49,36.5,22.0,2822.0000445842743,118.99999734014273
2024-01-25,65739.01091224297,4658.010853979424,1700,37.13,36.5,22.0,2184.499943256378,144.50000151991844
2024-01-26,62662.010852966145,4658.010853979424,1700,34.01,,22.0,0.0,186.99999898672104
2024-01-29,63888.54086499631,2220.5408416610803,1800,35.09,36.5,22.0,1655.9999763965607,161.9999997317791
2024-01-30,61782.54086526452,2220.5408416610803,1800,33.51,36.5,22.0,926.9999742507935,170.9999978542328
2024-01-31,59973.54084233164,2220.5408416610803,1800,32.06,36.5,22.0,98.9999994635582,144.00000013411045
2024-02-01,60783.54083824127,2220.5408416610803,1800,32.45,36.5,22.0,26.99999939650297,179.99999597668648
2024-02-02,62925.54084152697,2220.5408416610803,1800,33.68,,22.0,0.0,80.99999986588955
2024-02-05,65182.470840724985,3280.47083355008,1800,35.11,36.5,22.0,1358.9999914169312,62.99999859184027
2024-02-06,63751.4708396521,3280.47083355008,1800,33.83,36.5,22.0,485.99999248981476,62.99999859184027
2024-02-07,66154.47081645101,3280.47083355008,1800,35.38,36.5,22.0,855.0000160932541,44.99999899417162
2024-02-08,68296.47082007198,3280.47083355008,1800,37.16,36.5,22.0,1899.0000128746033,26.99999939650297
2024-02-09,69007.47083274541,68971.47083355008,0,39.35,,22.0,0.0,35.999999195337296
2024-02-12,67631.7768475114,2113.776871830094,1700,39.15,42.0,22.0,1037.000024318695,3.579863822065785e-26
2024-02-13,64436.24325511103,2113.776871830094,1700,36.76,42.0,22.0,186.99999898672104,17.466382267658044
2024-02-14,68379.77687740313,2113.776871830094,1700,39.21,42.0,22.0,390.9999944269657,3.1392890520229663e-53
