entry_date,expiration,dte,spot_entry,S_exp,k_short,k_long,width,width_pct,short_delta,credit,credit_pct_width,max_loss_share,pnl_share,ror,breach,max_loss_hit,win,move_pct,year
2023-02-06,2023-02-17,11,16.1,15.5,17.0,18.0,1.0,0.06211180124223602,0.4204,0.28200000000000003,0.28200000000000003,0.718,0.28200000000000003,0.392757660167131,False,False,True,-0.037267080745341685,2023
2023-02-21,2023-03-10,17,14.01,14.05,15.0,16.0,1.0,0.07137758743754462,0.4207,0.29200000000000004,0.29200000000000004,0.708,0.29200000000000004,0.41242937853107353,False,False,True,0.002855103497501954,2023
2023-03-13,2023-03-24,11,14.02,16.57,15.0,16.0,1.0,0.07132667617689016,0.4205,0.30400000000000005,0.30400000000000005,0.696,-0.696,-1.0,True,True,False,0.18188302425107006,2023
2023-03-27,2023-04-06,10,15.97,15.66,16.0,17.0,1.0,0.06261740763932373,0.53,0.4,0.4,0.6,0.4,0.6666666666666667,False,False,True,-0.019411396368190337,2023
2023-04-10,2023-04-21,11,16.39,14.86,17.0,18.0,1.0,0.06101281269066504,0.4354,0.31200000000000006,0.31200000000000006,0.688,0.31200000000000006,0.4534883720930234,False,False,True,-0.09334960341671761,2023
2023-04-24,2023-05-05,11,14.63,14.47,15.0,16.0,1.0,0.06835269993164729,0.4616,0.338,0.338,0.6619999999999999,0.338,0.5105740181268883,False,False,True,-0.010936431989063577,2023
2023-05-08,2023-05-19,11,14.65,17.39,15.0,16.0,1.0,0.06825938566552901,0.4523,0.33000000000000007,0.33000000000000007,0.6699999999999999,-0.6699999999999999,-1.0,True,True,False,0.18703071672354943,2023
2023-05-22,2023-06-02,11,17.53,22.02,18.0,19.0,1.0,0.057045065601825436,0.4501,0.32999999999999996,0.32999999999999996,0.67,-0.67,-1.0,True,True,False,0.25613234455219613,2023
2023-06-05,2023-06-16,11,20.97,25.24,21.0,22.0,1.0,0.047687172150691466,0.5276000000000001,0.3800000000000001,0.3800000000000001,0.6199999999999999,-0.6199999999999999,-1.0,True,True,False,0.20362422508345257,2023
2023-06-20,2023-07-07,17,24.65,22.96,25.0,26.0,1.0,0.04056795131845842,0.5022,0.3759999999999999,0.3759999999999999,0.6240000000000001,0.3759999999999999,0.6025641025641023,False,False,True,-0.06855983772819463,2023
2023-07-10,2023-07-21,11,24.32,24.92,25.0,26.0,1.0,0.04111842105263158,0.4416,0.30200000000000005,0.30200000000000005,0.698,0.30200000000000005,0.4326647564469915,False,False,True,0.024671052631578982,2023
2023-07-24,2023-08-04,11,24.9,24.880000000000003,25.0,26.0,1.0,0.040160642570281124,0.5197,0.396,0.396,0.604,0.396,0.6556291390728477,False,False,True,-0.0008032128514054993,2023
2023-08-07,2023-08-18,11,25.66,20.15,26.0,27.0,1.0,0.03897116134060795,0.4898,0.3919999999999999,0.3919999999999999,0.6080000000000001,0.3919999999999999,0.6447368421052629,False,False,True,-0.2147310989867499,2023
2023-08-21,2023-09-01,11,21.880000000000003,24.02,22.0,23.0,1.0,0.04570383912248628,0.5229,0.40400000000000014,0.40400000000000014,0.5959999999999999,-0.5959999999999999,-1.0,True,True,False,0.09780621572212045,2023
2023-09-05,2023-09-22,17,24.02,17.84,25.0,26.0,1.0,0.041631973355537054,0.4331,0.28400000000000003,0.28400000000000003,0.716,0.28400000000000003,0.3966480446927375,False,False,True,-0.25728559533721895,2023
2023-09-25,2023-10-06,11,18.22,19.47,19.0,20.0,1.0,0.054884742041712405,0.4115,0.28400000000000003,0.28400000000000003,0.716,-0.18599999999999883,-0.25977653631284753,True,False,False,0.06860592755214046,2023
2023-10-09,2023-10-20,11,19.380000000000003,16.64,20.0,21.0,1.0,0.05159958720330236,0.4441,0.32800000000000007,0.32800000000000007,0.6719999999999999,0.32800000000000007,0.48809523809523825,False,False,True,-0.14138286893704854,2023
2023-10-23,2023-11-03,11,16.39,18.380000000000003,17.0,18.0,1.0,0.06101281269066504,0.4464,0.32200000000000006,0.32200000000000006,0.6779999999999999,-0.6779999999999999,-1.0,True,True,False,0.12141549725442347,2023
2023-11-06,2023-11-17,11,18.25,23.130000000000003,19.0,20.0,1.0,0.0547945205479452,0.402,0.296,0.296,0.704,-0.704,-1.0,True,True,False,0.2673972602739727,2023
2023-11-20,2023-12-01,11,24.18,23.07,25.0,26.0,1.0,0.0413564929693962,0.4266,0.29600000000000004,0.29600000000000004,0.704,0.29600000000000004,0.4204545454545455,False,False,True,-0.04590570719602971,2023
2023-12-04,2023-12-15,11,22.31,30.57,23.0,24.0,1.0,0.04482294935006724,0.4319,0.30400000000000005,0.30400000000000005,0.696,-0.696,-1.0,True,True,False,0.3702375616315554,2023
2023-12-18,2023-12-29,11,30.290000000000003,31.4,31.0,32.0,1.0,0.03301419610432486,0.4425,0.31200000000000006,0.31200000000000006,0.688,-0.08799999999999852,-0.12790697674418391,True,False,False,0.03664575767580036,2023
2024-01-02,2024-01-19,17,28.040000000000003,34.86,29.0,30.0,1.0,0.035663338088445073,0.4412,0.29399999999999993,0.29399999999999993,0.7060000000000001,-0.7060000000000001,-1.0,True,True,False,0.24322396576319538,2024
2024-01-22,2024-02-02,11,35.260000000000005,33.65,36.0,37.0,1.0,0.028360748723766302,0.476,0.3500000000000001,0.3500000000000001,0.6499999999999999,0.3500000000000001,0.5384615384615387,False,False,True,-0.04566080544526396,2024
2024-02-05,2024-02-16,11,35.1,38.33,36.0,37.0,1.0,0.02849002849002849,0.4627,0.3360000000000001,0.3360000000000001,0.6639999999999999,-0.6639999999999999,-1.0,True,True,False,0.09202279202279184,2024
2024-02-20,2024-03-08,17,36.42,48.95,37.0,38.0,1.0,0.02745744096650192,0.5166000000000001,0.3780000000000001,0.3780000000000001,0.6219999999999999,-0.6219999999999999,-1.0,True,True,False,0.34404173531026916,2024
2024-03-11,2024-03-22,11,46.77,46.43,47.0,48.0,1.0,0.02138122728244601,0.535,0.06000000000000005,0.06000000000000005,0.94,0.06000000000000005,0.06382978723404262,False,False,True,-0.0072696172760317035,2024
