tenor,short_rule,short_param,width,trades,win_rate,breach_rate,maxloss_rate,avg_credit_pct_width,mean_ror,median_ror,total_ror,mean_pnl_share,worst_ror,best_ror,frac10_end,frac10_cagr,frac10_maxdd,full_risk_ruined,full_risk_ruin_trade
two_week,delta,0.4,5,111,0.6396396396396397,0.42342342342342343,0.10810810810810811,0.17172914914914916,-0.09101563305758115,0.14325068870523427,-10.102735269391507,-0.6265225225225225,-1.0,0.37211855104281005,36501.2,-0.20203833911434232,-0.6747153006580482,True,5
two_week,otm_step,1.0,5,111,0.5945945945945946,0.4954954954954955,0.15315315315315314,0.23766846846846842,-0.09135387365735362,0.1595547309833024,-10.140279975966251,-0.5609189189189188,-1.0,0.6139444803098774,32717.20000000001,-0.22135801424681767,-0.750863046609203,True,5
two_week,otm_step,3.0,2,111,0.6936936936936937,0.3333333333333333,0.1981981981981982,0.17626726726726724,-0.09362959625085027,0.12739571589627957,-10.39288518384438,-0.17576576576576575,-1.0,0.515151515151515,30574.399999999987,-0.2322101583064674,-0.7579404274314308,True,5
two_week,otm_step,2.0,3,112,0.6428571428571429,0.4017857142857143,0.21428571428571427,0.21557886904761905,-0.09469170183988333,0.16414873637685473,-10.605470606066934,-0.227875,-1.0,0.5463917525773196,29407.19999999997,-0.23884525726803563,-0.7853624813630168,True,5
two_week,delta,0.1,1,97,0.8556701030927835,0.14432989690721648,0.1134020618556701,0.0358852233676976,-0.09627122892984925,0.035196687370600444,-9.338309206195378,-0.12725773195876292,-1.0,0.07296137339055797,37228.60000000003,-0.20443904983345207,-0.6316612494054223,True,5
monthly,delta,0.3,5,46,0.6956521739130435,0.32608695652173914,0.06521739130434782,0.11255757073844032,-0.09700155357552513,0.11807155657962112,-4.462071464474156,-0.9480434782608697,-1.0,0.18764845605700714,64472.800000000025,-0.09483522795924315,-0.4177757636182361,True,22
weekly,delta,0.4,1,208,0.6298076923076923,0.39903846153846156,0.2644230769230769,0.26021153846153844,-0.0988278649782127,0.2755102040816326,-20.556195915468244,-0.09650961538461546,-1.0,0.6025641025641028,8797.400000000003,-0.41842398821594595,-0.9306604118138803,True,2
two_week,delta,0.15,2,106,0.7924528301886793,0.2169811320754717,0.11320754716981132,0.05899937106918239,-0.09981961274460344,0.060108238253623124,-10.580878950927964,-0.2757547169811321,-1.0,0.10741971207087486,33668.0,-0.21529764746583724,-0.6710518334145401,True,5
monthly,delta,0.15,3,43,0.8372093023255814,0.16279069767441862,0.06976744186046512,0.045879367918902805,-0.10243722729924885,0.04384133611691025,-4.4048007738677,-0.5880000000000003,-1.0,0.08069164265129683,63918.399999999994,-0.09817312776041232,-0.3797991088755376,True,22
monthly,delta,0.15,1,42,0.7857142857142857,0.21428571428571427,0.11904761904761904,0.06561904761904763,-0.10387303669539055,0.06044657958184896,-4.362667541206403,-0.14352380952380966,-1.0,0.2315270935960592,63079.59999999999,-0.10422870121616978,-0.39707020907688473,True,11
monthly,otm_step,3.0,5,47,0.6595744680851063,0.3829787234042553,0.23404255319148937,0.18157588652482273,-0.10463360967727908,0.17370892018779344,-4.917779654832117,-0.7087659574468088,-1.0,0.44759698899826283,58758.19999999999,-0.11330900203475147,-0.5294501047978735,True,15
monthly,delta,0.2,3,46,0.7608695652173914,0.2391304347826087,0.08695652173913043,0.07066264822134388,-0.10541729801160196,0.08147136245118955,-4.84919570853369,-0.8662608695652175,-1.0,0.11524163568773232,60599.600000000006,-0.10703674458967105,-0.4354850435356422,True,11
two_week,otm_step,1.0,3,112,0.5982142857142857,0.48214285714285715,0.25892857142857145,0.28720238095238093,-0.10549077607326977,0.2536567170434448,-11.814966920206215,-0.2469642857142857,-1.0,0.7667844522968198,25078.600000000042,-0.265395753092448,-0.8251918851398125,True,5
monthly,otm_step,2.0,5,47,0.5531914893617021,0.46808510638297873,0.2127659574468085,0.23400131712259375,-0.10644689676294587,0.1933174224343676,-5.003004147858456,-0.5912340425531916,-1.0,0.5470297029702967,56989.40000000002,-0.11983479722681578,-0.5526023599179771,True,15
monthly,delta,0.15,2,43,0.8372093023255814,0.16279069767441862,0.13953488372093023,0.053262790697674436,-0.10873203456466571,0.05708245243128965,-4.675477486280625,-0.312139534883721,-1.0,0.092896174863388,61050.4,-0.11195710130041492,-0.4054478345977426,True,6
weekly,otm_step,3.0,1,198,0.7525252525252525,0.25757575757575757,0.20202020202020202,0.12705050505050508,-0.11128829834613309,0.0799136069114471,-22.035083072534352,-0.10452525252525255,-1.0,0.4619883040935674,8874.199999999993,-0.417295695386527,-0.9276711477193256,True,2
