structure,tenor,rule,param,width,trades,win_rate,mean_ror,median_ror,total_ror,worst_ror,net_pct_width,frac10_end,frac10_maxdd,full_ruin_trade
bull_put,weekly,delta,0.1,1,198,0.8484848484848485,-0.0508049364760573,0.057082452431289635,-10.059377422259345,-1.0,0.056416161616161635,33597.40000000002,-0.6693598839561476,1.0
bull_call,two_week,otm_step,0.0,1,113,0.5132743362831859,-0.05274913327807914,0.1752988047808838,-5.960652060422943,-1.0,-0.6420176991150442,36816.80000000013,-0.6318319999999987,1.0
bull_put,monthly,otm_step,3.0,2,47,0.723404255319149,-0.05412693410666318,0.2195121951219508,-2.5439659030131696,-1.0,0.2228581560283688,72190.00000000003,-0.3943119999999998,1.0
bull_put,weekly,delta,0.15,3,191,0.806282722513089,-0.054850267978613074,0.062322946175637405,-10.476401183915097,-1.0,0.06815816504612317,32414.600000000057,-0.6758539999999995,1.0
bull_put,weekly,delta,0.2,3,195,0.7743589743589744,-0.057291335602293346,0.0948905109489051,-11.171810442447203,-1.0,0.09880185592185592,30377.800000000076,-0.6962219999999992,1.0
bull_put,monthly,delta,0.15,2,47,0.8085106382978723,-0.05847556810130564,0.13378684807256236,-2.7483517007613654,-1.0,0.12337872340425532,72849.79999999999,-0.3931620000000001,1.0
bull_put,weekly,delta,0.15,2,196,0.8163265306122449,-0.05907331263587434,0.0746913366365222,-11.57836927663137,-1.0,0.07944591836734693,29088.400000000045,-0.7130663647378974,1.0
bull_put,weekly,otm_step,1.0,5,186,0.6344086021505376,-0.05927221406901762,0.1399918282391519,-11.024631816837278,-1.0,0.2017584780810587,28402.600000000086,-0.7176339999999992,1.0
bull_call,weekly,delta,0.7,2,211,0.5213270142180095,-0.059483909398107375,0.10011001100110008,-12.551104883000656,-1.0,-0.6275497630331754,15577.600000000071,-0.8442239999999993,1.0
bull_put,weekly,delta,0.2,5,161,0.7701863354037267,-0.059777592994064,0.0702054794520548,-9.624192472044305,-1.0,0.08079710144927536,37008.00000000004,-0.6299199999999996,1.0
bull_put,weekly,otm_step,1.0,2,208,0.6442307692307693,-0.06002442613033349,0.2114408147691585,-12.485080635109366,-1.0,0.2662644230769231,20769.20000000007,-0.8021179999999993,1.0
bull_put,monthly,delta,0.2,2,47,0.7446808510638298,-0.060638172512370685,0.1560693641618497,-2.849994108081422,-1.0,0.16332446808510637,72283.80000000003,-0.3382419999999998,1.0
bull_put,weekly,delta,0.3,3,199,0.7336683417085427,-0.060827193918919234,0.14416475972540047,-12.104611589864927,-1.0,0.16193526071918032,26176.40000000009,-0.7431016546607251,1.0
bull_put,weekly,otm_step,2.0,3,196,0.7193877551020408,-0.06141945718017109,0.11111354976910787,-12.038213607313534,-1.0,0.16958649173955295,25923.00000000005,-0.7563239999999994,1.0
bull_put,weekly,otm_step,2.0,2,200,0.72,-0.06334788665820383,0.14613218155259206,-12.669577331640767,-1.0,0.18852833333333335,22113.600000000035,-0.7849299999999996,1.0
bull_put,weekly,otm_step,2.0,5,169,0.7218934911242604,-0.06522944203796535,0.09075043630017453,-11.023775704416146,-1.0,0.1532904667981591,32748.600000000093,-0.6755299999999991,1.0
bull_put,weekly,delta,0.2,2,203,0.7733990147783252,-0.06564773273119318,0.10987791342952276,-13.326489744432214,-1.0,0.11151986863711003,23637.600000000006,-0.763624,1.0
bull_put,weekly,otm_step,3.0,5,156,0.7243589743589743,-0.06575727068851317,0.07342385060226037,-10.258134227408055,-1.0,0.12014891518737673,35183.60000000008,-0.6481639999999993,1.0
bull_call,monthly,delta,0.7,3,47,0.48936170212765956,-0.06641845055477395,-0.0013315579227697893,-3.121667176074376,-1.0,-0.68024861379755,63757.60000000002,-0.4579699999999999,1.0
