week,entry,expiry,K,spot0,prem_pct,S_E,move_pct,intr_pct,hedge_pct,net_pct,gate,equity
92,2023-09-28,2023-10-06,18.5,18.64,0.10032188841201717,19.47,0.04452789699570814,0.052038626609441994,0.030525912017167395,0.0,off,181182.1514644094
93,2023-10-05,2023-10-13,18.5,18.4,0.1016304347826087,18.98,0.03152173913043499,0.026086956521739157,0.04670836956521736,0.0,off,181182.1514644094
94,2023-10-12,2023-10-20,20.5,20.68,0.09235976789168279,16.64,-0.19535783365570591,0.1866537717601547,-0.07792533849129597,0.0,off,181182.1514644094
95,2023-10-19,2023-10-27,17.5,17.43,0.117039586919105,15.1,-0.13367756741250714,0.1376936316695353,-0.0013021227768216545,0.0,off,181182.1514644094
96,2023-10-26,2023-11-03,14.5,14.73,0.12695179904955872,18.380000000000003,0.24779361846571635,0.2634080108621862,-0.15987746096401917,0.0,off,181182.1514644094
97,2023-11-02,2023-11-10,17.0,17.080000000000002,0.08957845433255268,20.6,0.20608899297423888,0.21077283372365346,-0.12422903981264632,-0.003034660421545569,ON,180632.3251602699
98,2023-11-09,2023-11-17,18.5,18.39,0.09081022294725394,23.130000000000003,0.2577487765089723,0.2517672648178359,-0.10341625883632416,0.05754078303425781,ON,191026.0505912905
99,2023-11-16,2023-11-24,22.5,22.72,0.08714788732394367,23.09,0.016285211267605737,0.025968309859154926,0.01738745598591551,-0.04379212147887323,ON,182660.61457816733
100,2023-11-24,2023-12-01,23.0,23.09,0.06756171502815071,23.07,-0.0008661758336941938,0.0030316154179298523,0.011951710697271523,-0.052578388912949345,ON,173056.6137457981
101,2023-11-30,2023-12-08,23.0,22.81,0.08285839544059624,23.700000000000003,0.03901797457255607,0.03068829460762836,0.042111047786058765,-0.010059053046909117,ON,171315.82808801066
102,2023-12-07,2023-12-15,23.0,23.18,0.09447799827437446,30.57,0.31880931837791193,0.3265746333045729,-0.2141795944779982,0.017917040552200284,ON,174385.30072709732
103,2023-12-14,2023-12-22,30.0,30.19,0.08545876117919841,30.51,0.010599536270288201,0.01689301093077183,0.06088935077840342,0.0,off,174385.30072709732
104,2023-12-21,2023-12-29,30.5,30.26,0.0760079312623926,31.4,0.037673496364837966,0.029742233972240534,0.021335971579643207,-0.02492972571050885,ON,170037.92301202618
105,2023-12-28,2024-01-05,32.0,32.22,0.07107386716325265,25.93,-0.19522036002482923,0.1883923029174426,-0.07218736809435142,0.04513106765983854,ON,177711.91602022035
106,2024-01-04,2024-01-12,25.5,25.58,0.08717748240813136,28.1,0.0985144644253324,0.10164190774042227,-0.0070524237685692616,0.007412001563721648,ON,179029.1170196542
107,2024-01-11,2024-01-19,28.5,28.46,0.08222066057624736,34.86,0.22487702037947987,0.2234715390021082,-0.113435523541813,0.027815354884047842,ON,184008.8754441336
108,2024-01-18,2024-01-26,31.0,31.19,0.08816928502725233,34.010000000000005,0.0904135941006734,0.0965052901571018,0.026963578069894047,0.03529958319974352,ON,190504.312052365
109,2024-01-25,2024-02-02,37.0,37.120000000000005,0.11260775862068963,33.65,-0.09348060344827602,0.09024784482758623,0.02285996767241366,0.0,off,190504.312052365
110,2024-02-01,2024-02-09,32.5,32.45,0.09583975346687211,39.32,0.21171032357473019,0.21016949152542372,-0.12069562403697998,-0.006365885978428368,ON,189291.58332344072
111,2024-02-08,2024-02-16,37.0,37.15,0.09825033647375504,38.33,0.03176312247644675,0.03580080753701207,0.04051324360699871,-0.021936285329744266,ON,185139.22914113867
112,2024-02-15,2024-02-23,39.0,39.11,0.12554333929941192,40.17,0.027103042700076685,0.029915622602914898,0.07986284837637435,0.0,off,185139.22914113867
113,2024-02-22,2024-03-01,41.0,41.42,0.10236600676001932,48.330000000000005,0.16682761950748448,0.17696764847899576,-0.05882675036214389,0.015774891356832573,ON,188059.78036672785
114,2024-02-29,2024-03-08,43.0,42.84,0.10434173669467786,48.95,0.14262371615312786,0.13888888888888895,0.02068340336134452,0.05523055555555561,ON,198446.426514038
115,2024-03-07,2024-03-15,55.0,55.32,0.1473246565437455,42.74,-0.22740419378163412,0.22161966738973243,-0.06576876355748376,0.0,off,198446.426514038
116,2024-03-14,2024-03-22,44.0,43.53,0.1456466804502642,46.43,0.06662072134160346,0.0558235699517574,0.02053586032621183,-0.06928725017229494,ON,184696.61931436192
117,2024-03-20,2024-03-28,43.0,43.4,0.1055299539170507,46.53,0.0721198156682028,0.08133640552995394,-0.009413778801843324,-0.03360732718894007,ON,178489.45959837304
118,2024-03-28,2024-04-05,46.5,46.53,0.0939179024285407,43.620000000000005,-0.06254029658284965,0.06189555125725329,0.03037857296367935,-0.0016437782076080692,ON,178196.0625143975
119,2024-04-04,2024-04-12,42.5,42.370000000000005,0.12013216898749113,41.510000000000005,-0.02029738022185512,0.02336558886004236,0.09630245456691039,-0.0004641255605383848,ON,178113.35716699727
120,2024-04-11,2024-04-19,46.0,45.8,0.0960698689956332,30.790000000000003,-0.3277292576419213,0.3320960698689956,-0.18874148471615723,0.0,off,178113.35716699727
121,2024-04-18,2024-04-26,35.0,34.910000000000004,0.11458034947006587,39.8,0.14007447722715538,0.13749641936407897,0.014693784016041237,0.0,off,178113.35716699727
122,2024-04-25,2024-05-03,37.5,37.41,0.12643678160919541,38.97,0.041700080192462075,0.03929430633520446,0.09295046778936104,0.005807992515370084,ON,179147.83821231063
123,2024-05-02,2024-05-10,36.5,36.45,0.11028806584362139,41.03,0.12565157750342926,0.12427983539094653,-0.030022222222222266,-0.01603045267489712,ON,176276.01727003805
124,2024-05-09,2024-05-17,40.0,39.96,0.0945945945945946,45.400000000000006,0.13613613613613618,0.13513513513513528,-0.042615915915916035,-0.002075375375375359,ON,175910.17836452657
125,2024-05-16,2024-05-24,46.5,46.260000000000005,0.11694768698659748,51.440000000000005,0.11197578901859062,0.10678772157371388,-0.03307064418504113,-0.043230609597924734,ON,168305.47411934842
